**** Planta:   10 PARANA       Penal:      3.79751  2
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2038    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3
2039    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3    23.3
**** Planta:    4 NORTE        Penal:      3.79751  2
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2026    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2027    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2028    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2029    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2030    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2031    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2032    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2033    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2034    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2035    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2036    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2037    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2038    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
2039    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1    19.1
