**** Planta:    1 CAMARGOS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2032 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2033 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2034 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2035 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2036 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2037 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2038 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
2039 4977.02 5187.42 5429.38 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5671.34 5061.18 4824.48
**** Planta:   18 A. VERMELHA 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2026 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2027 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2028 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2029 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2030 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2031 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2032 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2033 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2034 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2035 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2036 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2037 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2038 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
2039 10249.7 10482.3 10756.2   11025   11025   11025   11025   11025   11025   11025 10342.7 9370.92
**** Planta:   24 EMBORCACAO  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2026 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2027 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2028 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2029 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2030 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2031 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2032 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2033 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2034 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2035 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2036 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2037 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2038 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
2039 17346.4 17424.7 17646.7   17725   17725   17725   17725   17725   17725   17725 17437.8 17281.1
**** Planta:   25 NOVA PONTE  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2026 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2027 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2028 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2029 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2030 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2031 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2032 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2033 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2034 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2035 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
2036 12542.9 12584.4 12677.8   12792   12792   12792   12792   12792   12792   12792 12594.8 12501.4
