$version=1
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE. CCTp FuVr FuVrLm ExcG
  68 TRES LAGOAS1    2    0     350       0     350   11.26 14.8717       0    0   68     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 137 GNA I           2    0    1338       0    1338    5.38 8.10506       0    0  137     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 238 GNA II          2    1  1672.6       0  1672.6     2.5 4.44999       0    0  238     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 236 MARLIM AZUL     1    0   565.5       0   565.5       5   9.674       0    0  236     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 248 PAULINIA VE2    1    0   15.95       0   15.95    1.63 2.27925       0    0  248     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 183 DO ATLANTICO    3    0     490       0     490    1.37 7.39629       0    0  183     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 108 XAVANTES   2    1    0       0       0       0    0.31 .658911       0    0  108     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
  44 ANGRA 3         1    1    1405       0    1405       2  8.7032       0    0   44     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 760 SEROPEDICA 2    2    1     360       0     360    9.79 13.0736       0    0  760     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 761 TRES LAGOAS2    2    1     350       0     350   11.26 14.8717       0    0  761     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
 769 JUIZ DE FOR1    2    1   87.05       0   87.05    6.72 11.2348       0    0  769     100       1       0       0       0       0    0    0    0    0    0       0       0    0                             1    0    0      0     
