$version=2
**** Load  :    6              Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2041   2296.79253.67286.02279.06305.22280.93289.14331.61329.48348.38347.43306.61
2041   3312.52247.07292.48 288.1354.04331.99 326.4347.96342.16317.42313.75292.31
2041   456.32497.789104.73100.2159.025 81.61118.86152.04162.55161.67143.41126.14
2042   112.17110.98712.41612.30213.824 13.9414.801 16.5215.39114.73914.75413.749
2042   2296.79253.67286.02279.06305.22280.93289.14331.61329.48348.38347.43306.61
2042   3312.52247.07292.48 288.1354.04331.99 326.4347.96342.16317.42313.75292.31
2042   456.32497.789104.73100.2159.025 81.61118.86152.04162.55161.67143.41126.14
2043   112.17110.98712.41612.30213.824 13.9414.801 16.5215.39114.73914.75413.749
2043   2296.79253.67286.02279.06305.22280.93289.14331.61329.48348.38347.43306.61
2043   3312.52247.07292.48 288.1354.04331.99 326.4347.96342.16317.42313.75292.31
2043   456.32497.789104.73100.2159.025 81.61118.86152.04162.55161.67143.41126.14
2044   112.171 11.3812.41612.30213.824 13.9414.801 16.5215.39114.73914.75413.749
2044   2296.79262.73286.02279.06305.22280.93289.14331.61329.48348.38347.43306.61
2044   3312.52 255.9292.48 288.1354.04331.99 326.4347.96342.16317.42313.75292.31
2044   456.324101.28104.73100.2159.025 81.61118.86152.04162.55161.67143.41126.14
