$version=1
!Code,Name
1,PARANA
2,T. PIRES
3,SUDESTE
4,SUL
5,NORDESTE
6,NORTE
7,B. MONTE
8,ITAIPU
9,AC RO
10,MAN AP BV
11,TAPAJOS
12,IVAIPORA
13,IMPERATRIZ
14,XINGU
