$version=1
!Code,Latitude,Longitude
623,-4.95,-38
624,-5.15,-37.35
625,-3.83,-38.54
626,-3.7,-40.38
627,-4.29,-41.75
628,-5.13,-42.8
629,-6.75,-43.57
630,-4.37,-44.33
631,-3.57,-44.54
632,-2.56,-44.26
633,-7.02,-37.96
634,-3.74,-38.58
636,-4.3,-42.99
637,-8.36,-42.23
638,-5.27,-44.48
639,-5.49,-47.44
640,-8.89,-36.29
641,-8.89,-36.29
642,-9.5,-35.84
643,-8.06,-34.93
644,-7.27,-35.91
645,-6.24,-36.04
646,-5.81,-35.24
647,-7.59,-35.09
648,-7.18,-34.89
649,-8.27,-35.03
650,-7.96,-34.89
651,-5.59,-36.91
652,-5.96,-36.66
653,-6.27,-36.55
654,-8.08,-34.98
655,-8.33,-36.22
656,-7.86,-35.34
657,-7.63,-45.21
658,-10.24,-36.56
659,-9.58,-35.79
660,-7.86,-35.02
661,-7.96,-34.89
662,-10.24,-36.56
664,-12.97,-39.22
665,-11.29,-37.72
666,-12.29,-38.97
668,-12.95,-38.45
669,-6.72,-43.56
670,-10.6,-38.37
671,-10.66,-37.46
672,-12.4,-38.36
673,-10.88,-37.15
674,-12.62,-38.34
675,-12.61,-39.03
676,-14.21,-41.64
677,-12.98,-38.48
678,-12.94,-38.42
679,-12.79,-38.42
680,-12.7,-38.48
681,-12.66,-38.27
683,-11.31,-41.81
684,-7.59,-35.09
685,-13.31,-43.35
686,-12.13,-44.95
687,-8.1,-43.67
689,-6.41,-38.88
690,-1.46,-48.45
691,-1.34,-48.38
692,-1.34,-47.57
693,-1.41,-48.49
694,-6.23,-36.03
695,-7.11,-41.41
696,-3.82,-49.65
697,-3.75,-49.69
698,-1.57,-48.73
699,-5.2,-49.02
708,-9.36,-38.2
745,-7.16,-35.01
746,-5.87,-35.32
752,-8.47,-35.4
765,-3.9,-41.19
777,-13.4,-49.03
794,-14.03,-42.62
800,-1.3,-47.79
801,-2.52,-44.3
805,-5.41,-47.56
807,-5.34,-47.57
814,-2.52,-44.17
819,-3.8,-38.53
820,-3.9,-38.54
821,-7.31,-38.94
822,-3.9,-38.54
826,-3.8,-38.53
831,-3.57,-44.54
836,-9.75,-45.35
846,-12.17,-44.81
862,-3.14,-52.18
876,-14.23,-39.46
877,-12.98,-38.48
