$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
 320 PCHTO000184      0    0    1    0.48        1       0    0   341       0      10       4
 321 PCHTO001305      0    0    1    2.07        1       0    0   425       0      10       4
 322 PCHTO002796      0    0    1    1.75        1       0    0   425       0      10       4
 323 PCHTO027013      0    0    1   1.776        1       0    0   425       0      10       4
 324 PCHTO027567      0    0    1    0.68        1       0    0   342       0      10       4
 325 PCHTO027569      0    0    1    0.28        1       0    0   341       0      10       4
 326 PCHTO029804      0    0    1    1.12        1       0    0   535       0      10       4
 327 PCHTO031902      0    0    1     1.3        1       0    0   343       0      10       4
 328 PCHTO035426      0    0    1     1.8        1       0    0   344       0      10       4
 329 PCHTO035446      0    0    1     1.8        1       0    0   344       0      10       4
 330 PCHTO035733      0    0    1    2.75        1       0    0   344       0      10       4
 331 PCHTO035747      0    0    1    2.75        1       0    0   535       0      10       4
 738 EOLMA033673      0    0    1    27.6        1       0    0   282       0      10       1
 739 EOLMA033675      0    0    1    27.6        1       0    0   282       0      10       1
 740 EOLMA033680      0    0    1    27.6        1       0    0   282       0      10       1
 741 EOLMA033682      0    0    1    27.6        1       0    0   282       0      10       1
 742 EOLMA033683      0    0    1    27.6        1       0    0   282       0      10       1
 743 EOLMA033684      0    0    1    27.6        1       0    0   282       0      10       1
 744 EOLMA033685      0    0    1    27.6        1       0    0   282       0      10       1
 745 EOLMA033686      0    0    1    27.6        1       0    0   282       0      10       1
 746 EOLMA037967      0    0    1    24.3        1       0    0   282       0      10       1
 747 EOLMA037970      0    0    1    29.7        1       0    0   282       0      10       1
 748 EOLMA037972      0    0    1      27        1       0    0   282       0      10       1
 749 EOLMA037976      0    0    1      27        1       0    0   282       0      10       1
 750 EOLMA040572      0    0    1      27        1       0    0   282       0      10       1
 751 EOLMA040573      0    0    1    35.1        1       0    0   282       0      10       1
 752 EOLMA040574      0    0    1    35.1        1       0    0   282       0      10       1
1510 PCHPA028653      0    0    1      20        1       0    0   425       0      10       4
1511 PCHPA028671      0    0    1      10        1       0    0   425       0      10       4
1512 PCHPA028672      0    0    1      30        1       0    0   357       0      10       4
1735 PCHTO000031      0    0    1   14.04        1       0    0   357       0      10       4
1736 PCHTO001149      0    0    1  29.064        1       0    0   377       0      10       4
1737 PCHTO002756      0    0    1    4.82        1       0    0   341       0      10       4
1738 PCHTO027227      0    0    1     5.5        1       0    0   378       0      10       4
1739 PCHTO027411      0    0    1    5.04        1       0    0   379       0      10       4
1740 PCHTO028446      0    0    1    11.4        1       0    0   377       0      10       4
1741 PCHTO028447      0    0    1      14        1       0    0   377       0      10       4
1742 PCHTO029057      0    0    1   21.51        1       0    0   377       0      10       4
1743 PCHTO029058      0    0    1     9.3        1       0    0   380       0      10       4
1744 PCHTO029059      0    0    1      30        1       0    0   377       0      10       4
1745 PCHTO029060      0    0    1      16        1       0    0   377       0      10       4
1746 PCHTO031244      0    0    1       6        1       0    0   539       0      10       4
1747 PCHTO032551      0    0    1      10        1       0    0   539       0      10       4
1748 PCHTO034495      0    0    1       8        1       0    0   379       0      10       4
2128 UFVTO033608      0    0    1       5        1       0    0   321       0      10       2
2225 PCTMA028917      0    0    1    12.2        1       0    0   435       0      10       3
2226 PCTMA030959      0    0    1  254.84        1       0    0   435       0      10       3
2307 PCTPA032116      0    0    1      20        1       0    0   433       0      10       3
2513 PCTTO030518      0    0    1      80        1       0    0   432       0      10       3
2514 PCTTO030893      0    0    1    8.02        1       0    0   491       0      10       3
3392 PCTPA067993      0    1    1   1.141        1       0    0   554       0      10       3
3444 PCHTO053909      0    1    1     4.4        1       0    0   414       0      10       4
4498 UFVMA057143      0    1    1    0.42        1       0    0   321       0      10       2
4499 UFVMA074608      0    1    1     1.5        1       0    0   321       0      10       2
4505 UFVPA072279      0    1    1       1        1       0    0   321       0      10       2
4506 UFVPA073397      0    1    1   0.405        1       0    0   321       0      10       2
5223 MMGDMA115        0    0    1       0        1       0    0   567       0      11       2
5224 MMGDMA131        0    0    1       0        1       0    0   567       0      11       2
5225 MMGDMA13102      0    0    1       0        1       0    0   567       0      11       2
5226 MMGDMA14483      0    0    1       0        1       0    0   567       0      11       2
5227 MMGDMA19002      0    0    1       0        1       0    0   567       0      11       2
5228 MMGDMA19069      0    0    1       0        1       0    0   567       0      11       2
5229 MMGDMA19090      0    0    1       0        1       0    0   567       0      11       2
