****   8.3288  97 ESTREITO TOC :>: H: 267                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2034   4      27      25      30      24      27      30      27      26      30      26      22      24
2035   1      27      20      30      25      28      30      24      27      30      26      30      30
2035   2      27      25      30      26      29      30      28      26      29      26      24      30
2035   3      27      25      30      25      30      30      27      25      29      26      23      27
2035   4      27      25      30      24      27      30      27      26      30      26      22      24
2036   1      27      20      30      25      28      30      24      27      30      26      30      30
2036   2      27      25      30      26      29      30      28      26      29      26      24      30
2036   3      27      25      30      25      30      30      27      25      29      26      23      27
2036   4      27      25      30      24      27      30      27      26      30      26      22      24
2037   1      27      20      30      25      28      30      24      27      30      26      30      30
2037   2      27      25      30      26      29      30      28      26      29      26      24      30
2037   3      27      25      30      25      30      30      27      25      29      26      23      27
2037   4      27      25      30      24      27      30      27      26      30      26      22      24
2038   1      27      20      30      25      28      30      24      27      30      26      30      30
2038   2      27      25      30      26      29      30      28      26      29      26      24      30
2038   3      27      25      30      25      30      30      27      25      29      26      23      27
2038   4      27      25      30      24      27      30      27      26      30      26      22      24
2039   1      27      20      30      25      28      30      24      27      30      26      30      30
2039   2      27      25      30      26      29      30      28      26      29      26      24      30
2039   3      27      25      30      25      30      30      27      25      29      26      23      27
2039   4      27      25      30      24      27      30      27      26      30      26      22      24
****   8.3288  99 TUCURUI      :>: H: 275                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2025   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2025   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2025   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2026   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2026   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2026   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2026   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2027   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2027   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2027   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2027   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2028   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2028   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2028   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2028   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2029   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2029   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2029   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2029   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2030   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2030   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2030   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2030   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2031   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2031   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2031   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2031   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2032   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2032   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2032   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2032   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2033   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2033   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2033   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2033   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2034   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2034   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2034   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2034   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2035   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2035   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2035   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2035   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2036   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2036   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2036   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2036   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2037   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2037   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2037   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2037   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2038   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2038   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2038   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2038   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
2039   1    2728    3531    5129    4716    4626    3307    1767    1528    3186    3549    2028    2167
2039   2    2582    3438    3799    3910    4048    2147    1557    1541    2248    2107    1581    2120
2039   3    2242    2656    2360    3158    3131    1590    1540    1505    1541    1526    1523    1902
2039   4    1507    1912    1818    2349    2205    1526    1430    1410    1388    1356    1407    1383
