!NUM ...Nombre... .TP ...PrdEsp... ...PrdHid... U .....A0..... .....A1..... .....A2..... .....A3..... .....A4.....
 204 CACH CALDEIR         0.009037         0.32 2     47.43975   0.09548884  -0.00033629 6.806878e-07 -5.74175e-10
 277 BALBINA              0.009035         0.38 2     36.95247  0.001339282 -5.45561e-08 1.446067e-12 -1.55414e-17
 280 COARA NUNES          0.008993          0.3 2     30.55788    0.2514001 -0.003157116 2.247213e-05 -6.08382e-08
 284 FERREIRA GOM         0.009037          0.2 2      7.65071    0.1891085 -0.001132528 4.477173e-06  -7.1881e-09
 286 STO ANT JARI         0.009094         0.63 2     13.92494    0.3594691 -0.003450117 1.644837e-05 -3.00879e-08
 339 BEM QUERER           0.008959          0.3 2     47.88708   0.01545235 -1.10759e-05 4.228259e-09 -6.00272e-13
 421 URUCUPATA            0.008829         0.64 2     138.2348   0.08960573            0            0            0
