$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinTurb,MaxTurb,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,2,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,3,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,4,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,5,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,6,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,7,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,8,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,9,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,10,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,11,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,12,2031,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,1,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,2,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,3,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,4,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,5,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,6,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,7,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,8,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,9,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,10,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,11,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,12,2032,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,1,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,2,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,3,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,4,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,5,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,6,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,7,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,8,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,9,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,10,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,11,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,12,2033,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
1,1,2034,8,B.MONTE_P,288,4941,0,18,0,13950,0,11000,0,0,0,0,0,0,0,0,0,0
