              1     CAMARGOS                          2         9
              2     ITUTINGA                        211         9
            211     FUNIL GRANDE                      6         9
              6     FURNAS                            7         9
              7     MASC. MORAES                      8         9
              8     ESTREITO GDE                      9         9
              9     JAGUARA                          10         9
             10     IGARAPAVA                        11         9
             11     VOLTA GRANDE                     12         9
             12     P. COLOMBIA                      17         9
             14     CACONDE                          15         9
             15     EUCLID CUNHA                     16         9
             16     A.S.OLIVEIRA                     17         9
             17     MARIMBONDO                       18         9
             18     A. VERMELHA                      34         9
             22     BATALHA                         251         9
            251     SERRA FACAO                      24         9
             24     EMBORCACAO                       31         9
             25     NOVA PONTE                      206         9
            206     MIRANDA                         207         9
            207     CAPIM BRANC1                     28         9
             28     CAPIM BRANC2                     31         9
            205     CORUMBA IV                       23         9
            209     CORUMBA I                        31         9
             31     ITUMBIARA                        32         9
             32     CACH DOURADA                     33         9
             33     SAO SIMAO                        34         9
             34     _I. SOLTEIRA                     45         9
             37     B BONITA_ART                     38         9
             38     AS LIMA_ART                      39         9
             39     IBITINGA_ART                     40         9
             40     PROMISS_ART                      42         9
             42     NAVANHAN_ART                     43         9
             43     _T.IRMAO_ART                     45         9
             45     JUPIA_ART                        46         9
             46     P PRIMAV_ART                     66         9
             47     A.A. LAYDNER                     48         9
             48     PIRAJU                           53         9
             49     CHAVANTES                       249         9
             50     L. N. GARCEZ                     51         9
             51     CANOAS II                        52         9
             52     CANOAS I                         61         9
             53     PARANAPANEMA                     49         9
             56     TELEM BORBA                      57         9
             57     MAUA                             61         9
             61     CAPIVARA                         62         9
             62     TAQUARUCU                        63         9
             63     ROSANA                           66         9
             66     ITAIPU_ART                        0         9
             71     STA CLARA PR                     72         9
             72     FUNDAO                           73         9
             73     JORDAO_ART                       77         9
             74     G. B. MUNHOZ                     76         9
             76     SEGREDO_ART                      77         9
             77     SLT.SANTIAGO                     78         9
             78     SALTO OSORIO                    222         9
            222     SALTO CAXIAS                     81         9
             81     BAIXO IGUACU                      0         9
            215     BARRA GRANDE                    217         9
             88     SAO ROQUE                        89         9
             89     GARIBALDI                       216         9
            216     CAMPOS NOVOS                    217         9
            217     MACHADINHO                       92         9
             92     ITA                              94         9
             93     PASSO FUNDO                     220         9
            220     MONJOLINHO                       94         9
            286     QUEBRA QUEIX                    500         9
             98     CASTRO ALVES                     97         9
             97     MONTE CLARO                     284         9
            284     14 DE JULHO                       0         9
            500     ITAPIRANGA                        0         9
            102     SAO JOSE                        103         9
            103     PASSO S JOAO                      0         9
             94     FOZ CHAPECO                     500         9
            110     ERNESTINA                       111         9
            111     PASSO REAL                      112         9
            112     JACUI                           113         9
            113     ITAUBA                          114         9
