**** Planta:   57 MAUA         Penal:    599.53776
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2034       0       4       1       0       0       0       0       0       0       0       0       0
2035       0       4       1       0       0       0       0       0       0       0       0       0
2036       0       4       1       0       0       0       0       0       0       0       0       0
2037       0       4       1       0       0       0       0       0       0       0       0       0
2038       0       4       1       0       0       0       0       0       0       0       0       0
2039       0       4       1       0       0       0       0       0       0       0       0       0
**** Planta:   78 SALTO OSORIO Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     206     200     200     200     200     200     200     200     200     200     200     200
2026     206     200     200     200     200     200     200     200     200     200     200     200
2027     206     200     200     200     200     200     200     200     200     200     200     200
2028     206     200     200     200     200     200     200     200     200     200     200     200
2029     206     200     200     200     200     200     200     200     200     200     200     200
2030     206     200     200     200     200     200     200     200     200     200     200     200
2031     206     200     200     200     200     200     200     200     200     200     200     200
2032     206     200     200     200     200     200     200     200     200     200     200     200
2033     206     200     200     200     200     200     200     200     200     200     200     200
2034     206     200     200     200     200     200     200     200     200     200     200     200
2035     206     200     200     200     200     200     200     200     200     200     200     200
2036     206     200     200     200     200     200     200     200     200     200     200     200
2037     206     200     200     200     200     200     200     200     200     200     200     200
2038     206     200     200     200     200     200     200     200     200     200     200     200
2039     206     200     200     200     200     200     200     200     200     200     200     200
**** Planta:   82 SALTO CAXIAS Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     200     200     200     200     200     200     200     317     240     200     200     200
2026     200     200     200     200     200     200     200     317     240     200     200     200
2027     200     200     200     200     200     200     200     317     240     200     200     200
2028     200     200     200     200     200     200     200     317     240     200     200     200
2029     200     200     200     200     200     200     200     317     240     200     200     200
2030     200     200     200     200     200     200     200     317     240     200     200     200
2031     200     200     200     200     200     200     200     317     240     200     200     200
2032     200     200     200     200     200     200     200     317     240     200     200     200
