NUM: 234 JARDIM OURO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   0.4   0.4   0.4   0.4   0.4  0.44  0.45  0.43  0.41  0.41  0.41  0.41
2026  0.41  0.41  0.41  0.41  0.41  0.45  0.46  0.44  0.42  0.42  0.41  0.42
2027  0.42  0.42  0.42  0.42  0.42  0.46  0.47  0.45  0.43  0.42  0.42  0.43
2028  0.43  0.43  0.43  0.43  0.43  0.47  0.48  0.46  0.44  0.43  0.43  0.43
2029  0.44  0.44  0.44  0.44  0.44  0.48  0.49  0.47  0.45  0.44  0.44  0.44
2030  0.45  0.45  0.45  0.45  0.45  0.49   0.5  0.48  0.45  0.45  0.45  0.45
2031  0.45  0.46  0.46  0.46  0.46   0.5  0.52  0.49  0.47  0.47  0.47  0.47
2032  0.47  0.47  0.47  0.47  0.47  0.51  0.53  0.51  0.48  0.48  0.48  0.48
2033  0.48  0.48  0.48  0.48  0.48  0.53  0.54  0.52  0.49  0.49  0.49  0.49
2034  0.49  0.49  0.49   0.5   0.5  0.54  0.56  0.53   0.5   0.5   0.5   0.5
2035   0.5  0.51  0.51  0.51  0.51  0.55  0.57  0.55  0.52  0.52  0.52  0.52
2036  0.52  0.52  0.52  0.52  0.52  0.57  0.58  0.56  0.53  0.53  0.53  0.53
2037  0.53  0.53  0.53  0.53  0.53  0.58   0.6  0.57  0.54  0.54  0.54  0.54
2038  0.54  0.54  0.54  0.55  0.55  0.59  0.61  0.59  0.55  0.55  0.55  0.55
2039  0.55  0.56  0.56  0.56  0.56  0.61  0.63   0.6  0.57  0.57  0.57  0.57
2040     0     0     0     0     0     0     0     0     0     0     0     0
