$version=2
**** Load  :    5              Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2041   3  22602051.42132.2  16491572.21165.3  11741059.51193.41422.11517.3  1804
2041   4531.71 994.4979.58728.26 328.1377.47558.92586.76 695.6830.01 786.7920.59
2042   175.79278.76879.51161.00753.22442.11746.75844.41649.20258.80463.11573.338
2042   21953.71887.31864.21420.21198.8871.73939.69 914.81046.81407.61507.21680.3
2042   3  22602051.42132.2  16491572.21165.3  11741059.51193.41422.11517.3  1804
2042   4531.71 994.4979.58728.26 328.1377.47558.92586.76 695.6830.01 786.7920.59
2043   175.79278.76879.51161.00753.22442.11746.75844.41649.20258.80463.11573.338
2043   21953.71887.31864.21420.21198.8871.73939.69 914.81046.81407.61507.21680.3
2043   3  22602051.42132.2  16491572.21165.3  11741059.51193.41422.11517.3  1804
2043   4531.71 994.4979.58728.26 328.1377.47558.92586.76 695.6830.01 786.7920.59
2044   175.79281.58179.51161.00753.22442.11746.75844.41649.20258.80463.11573.338
2044   21953.71954.71864.21420.21198.8871.73939.69 914.81046.81407.61507.21680.3
2044   3  22602124.62132.2  16491572.21165.3  11741059.51193.41422.11517.3  1804
2044   4531.711029.9979.58728.26 328.1377.47558.92586.76 695.6830.01 786.7920.59
