$version=2
**** Load  :    7              Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2041   2881.43751.63818.87792.18848.75754.65821.78884.99   9081003.4  1002900.76
2041   3 935.9769.17904.57917.911142.61058.2  11031124.21069.31038.1970.33935.05
2041   4184.54281.18 324.7313.71198.37266.11394.26 455.2475.62483.49405.42389.04
2042   134.52930.57934.30732.535 35.6333.54337.15539.19739.02841.02241.48236.858
2042   2881.43751.63818.87792.18848.75754.65821.78884.99   9081003.4  1002900.76
2042   3 935.9769.17904.57917.911142.61058.2  11031124.21069.31038.1970.33935.05
2042   4184.54281.18 324.7313.71198.37266.11394.26 455.2475.62483.49405.42389.04
2043   134.52930.57934.30732.535 35.6333.54337.15539.19739.02841.02241.48236.858
2043   2881.43751.63818.87792.18848.75754.65821.78884.99   9081003.4  1002900.76
2043   3 935.9769.17904.57917.911142.61058.2  11031124.21069.31038.1970.33935.05
2043   4184.54281.18 324.7313.71198.37266.11394.26 455.2475.62483.49405.42389.04
2044   134.52931.67134.30732.535 35.6333.54337.15539.19739.02841.02241.48236.858
2044   2881.43778.48818.87792.18848.75754.65821.78884.99   9081003.4  1002900.76
2044   3 935.9796.64904.57917.911142.61058.2  11031124.21069.31038.1970.33935.05
2044   4184.54291.22 324.7313.71198.37266.11394.26 455.2475.62483.49405.42389.04
