NUM: 225 SLT APIACAS           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2035 13.09 13.09  13.1 13.11 13.52 13.85 13.85 13.76 13.39 13.16 13.13 13.13
2036 13.14 13.14 13.14 13.16 13.58 13.92 13.91 13.82 13.44 13.21 13.18 13.18
2037 13.18 13.19 13.19  13.2 13.63 13.98 13.98 13.88  13.5 13.26 13.22 13.22
2038 13.23 13.23 13.24 13.25 13.69 14.04 14.04 13.94 13.55  13.3 13.27 13.27
2039 13.28 13.28 13.28  13.3 13.74 14.11  14.1    14  13.6 13.35 13.32 13.32
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 230 SAO MANOEL            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025-10.49-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.49-10.49-10.49-10.49
2026-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2027-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2028-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2029-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2030-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2031-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2032-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2033-10.49-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.49-10.49-10.49-10.49
2034-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.48-10.48-10.49-10.49-10.49
2035-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.48-10.48-10.49-10.49-10.49
2036-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.48-10.48-10.49-10.49-10.49
2037-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.48-10.48-10.49-10.49-10.49
2038-10.49-10.49-10.49-10.49-10.48-10.48-10.48-10.48-10.48-10.48-10.48-10.48
2039-10.48-10.48-10.48-10.48-10.48-10.48-10.48-10.48-10.48-10.48-10.48-10.48
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 309 JURUENA               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 46.52 46.52 46.52 46.52 15.52 15.52 15.52 15.52 15.52 15.52 46.52 46.52
2026 46.52 46.52 46.52 46.52 15.52 15.52 15.52 15.52 15.52 15.52 46.52 46.52
