NUM:   5
               1732
  1 3117 R   
  2 3119 R   
  3 2852 R   
  4 2975 R   
  5 3118 R   
  6 2851 R   
  7 2815 R   
  8 3334 R   
  9 2976 R   
 10 2650 R   
 11 2520 R   
 12 3296 R   
 13 2653 R   
 14 2652 R   
 15 2651 R   
 16 2974 R   
 17 2521 R   
 18 2973 R   
 19 2853 R   
 20 3120 R   
 21 3122 R   
 22 2855 R   
 23 2979 R   
 24 3121 R   
 25 2854 R   
 26 2816 R   
 27 3335 R   
 28 2980 R   
 29 2654 R   
 30 2522 R   
 31 3297 R   
 32 2657 R   
 33 2656 R   
 34 2655 R   
 35 2978 R   
 36 2523 R   
 37 2977 R   
 38 2856 R   
 39 3123 R   
 40 3125 R   
 41 2858 R   
 42 2983 R   
 43 3124 R   
 44 2857 R   
 45 2817 R   
 46 3336 R   
 47 2984 R   
 48 2658 R   
 49 2524 R   
 50 3298 R   
 51 2661 R   
 52 2660 R   
 53 2659 R   
 54 2982 R   
 55 2525 R   
 56 2981 R   
 57 2859 R   
 58 3126 R   
 59 3128 R   
 60 2861 R   
 61 2987 R   
 62 3127 R   
 63 2860 R   
 64 2818 R   
 65 3337 R   
 66 2988 R   
 67 2662 R   
 68 2526 R   
 69 3299 R   
 70 2665 R   
 71 2664 R   
 72 2663 R   
 73 2986 R   
 74 2527 R   
 75 2985 R   
 76 2862 R   
 77 3129 R   
 78 3131 R   
 79 2864 R   
 80 2991 R   
 81 3130 R   
 82 2863 R   
 83 2819 R   
 84 3338 R   
 85 2992 R   
 86 2666 R   
 87 2528 R   
 88 3300 R   
 89 2669 R   
 90 2668 R   
 91 2667 R   
 92 2990 R   
 93 2529 R   
 94 2989 R   
 95 2865 R   
 96 3132 R   
 97 3134 R   
 98 2867 R   
 99 2995 R   
100 3133 R   
101 2866 R   
102 2820 R   
103 3339 R   
104 2996 R   
105 2670 R   
106 2530 R   
107 3301 R   
108 2673 R   
109 2672 R   
110 2671 R   
111 2994 R   
112 2531 R   
113 2993 R   
114 2868 R   
115 3135 R   
116 3137 R   
117 2870 R   
118 2999 R   
119 3136 R   
120 2869 R   
121 2821 R   
122 3340 R   
123 3000 R   
124 2674 R   
125 2532 R   
126 3302 R   
127 2677 R   
128 2676 R   
129 2675 R   
130 2998 R   
131 2533 R   
132 2997 R   
133 2871 R   
134 3138 R   
135 3140 R   
136 2873 R   
137 3003 R   
138 3139 R   
139 2872 R   
140 2822 R   
141 3341 R   
142 3004 R   
143 2678 R   
144 2534 R   
145 3303 R   
146 2681 R   
147 2680 R   
148 2679 R   
149 3002 R   
150 2535 R   
151 3001 R   
152 2874 R   
153 3141 R   
154 3143 R   
155 2876 R   
156 3007 R   
157 3142 R   
158 2875 R   
159 2823 R   
160 3342 R   
161 3008 R   
162 2682 R   
163 2536 R   
164 3304 R   
165 2685 R   
166 2684 R   
167 2683 R   
168 3006 R   
169 2537 R   
170 3005 R   
171 2877 R   
172 3144 R   
173 3146 R   
174 2879 R   
175 3011 R   
176 3145 R   
177 2878 R   
178 2824 R   
179 3343 R   
180 3012 R   
181 2686 R   
182 2538 R   
183 3305 R   
184 2689 R   
185 2688 R   
186 2687 R   
187 3010 R   
188 2539 R   
189 3009 R   
190 2880 R   
191 3147 R   
192 3149 R   
193 2882 R   
194 3015 R   
195 3148 R   
196 2881 R   
197 2825 R   
198 3344 R   
199 3016 R   
200 2690 R   
201 2540 R   
202 3306 R   
203 2693 R   
204 2692 R   
205 2691 R   
206 3014 R   
207 2541 R   
208 3013 R   
209 2883 R   
210 3150 R   
211 3152 R   
212 2885 R   
213 3019 R   
214 3151 R   
215 2884 R   
216 2826 R   
217 3345 R   
218 3020 R   
219 2694 R   
220 2542 R   
221 3307 R   
222 2697 R   
223 2696 R   
224 2695 R   
225 3018 R   
226 2543 R   
227 3017 R   
228 2886 R   
229 3153 R   
230 3155 R   
231 2888 R   
232 3023 R   
233 3154 R   
234 2887 R   
235 2827 R   
236 3346 R   
237 3024 R   
238 2698 R   
239 2544 R   
240 3308 R   
241 2701 R   
242 2700 R   
243 2699 R   
244 3022 R   
245 2545 R   
246 3021 R   
247 2889 R   
248 3156 R   
249 3158 R   
250 2891 R   
251 3027 R   
252 3157 R   
253 2890 R   
254 2828 R   
255 3347 R   
256 3028 R   
257 2702 R   
258 2546 R   
259 3309 R   
260 2705 R   
261 2704 R   
262 2703 R   
263 3026 R   
264 2547 R   
265 3025 R   
266 2892 R   
267 3159 R   
268 3161 R   
269 2894 R   
270 3031 R   
271 3160 R   
272 2893 R   
273 2829 R   
274 3348 R   
275 3032 R   
276 2706 R   
277 2548 R   
278 3310 R   
279 2709 R   
280 2708 R   
281 2707 R   
282 3030 R   
283 2549 R   
284 3029 R   
285 2895 R   
286 3162 R   
287 3164 R   
288 2897 R   
289 3035 R   
290 3163 R   
291 2896 R   
292 2830 R   
293 3349 R   
294 3036 R   
295 2710 R   
296 2550 R   
297 3311 R   
298 2713 R   
299 2712 R   
300 2711 R   
301 3034 R   
302 2551 R   
303 3033 R   
304 2898 R   
305 3165 R   
306 3167 R   
307 2900 R   
308 3039 R   
309 3166 R   
310 2899 R   
311 2831 R   
312 3350 R   
313 3040 R   
314 2714 R   
315 2552 R   
316 3312 R   
317 2717 R   
318 2716 R   
319 2715 R   
320 3038 R   
321 2553 R   
322 3037 R   
323 2901 R   
324 3168 R   
325 3170 R   
326 2903 R   
327 3043 R   
328 3169 R   
329 2902 R   
330 2832 R   
331 3351 R   
332 3044 R   
333 2718 R   
334 2554 R   
335 3313 R   
336 2721 R   
337 2720 R   
338 2719 R   
339 3042 R   
340 2555 R   
341 3041 R   
342 2904 R   
343 3171 R   
344 3173 R   
345 2906 R   
346 3047 R   
347 3172 R   
348 2905 R   
349 2833 R   
350 3352 R   
351 3048 R   
352 2722 R   
353 2556 R   
354 3314 R   
355 2725 R   
356 2724 R   
357 2723 R   
358 3046 R   
359 2557 R   
360 3045 R   
361 2907 R   
362 3174 R   
363 3176 R   
364 2909 R   
365 3051 R   
366 3175 R   
367 2908 R   
368 2834 R   
369 3353 R   
370 3052 R   
371 2726 R   
372 2558 R   
373 3315 R   
374 2729 R   
375 2728 R   
376 2727 R   
377 3050 R   
378 2559 R   
379 3049 R   
380 2910 R   
381 3177 R   
382 3179 R   
383 2912 R   
384 3055 R   
385 3178 R   
386 2911 R   
387 2835 R   
388 3354 R   
389 3056 R   
390 2730 R   
391 2560 R   
392 3316 R   
393 2733 R   
394 2732 R   
395 2731 R   
396 3054 R   
397 2561 R   
398 3053 R   
399 2913 R   
400 3180 R   
401 3182 R   
402 2915 R   
403 3059 R   
404 3181 R   
405 2914 R   
406 2836 R   
407 3355 R   
408 3060 R   
409 2734 R   
410 2562 R   
411 3317 R   
412 2737 R   
413 2736 R   
414 2735 R   
415 3058 R   
416 2563 R   
417 3057 R   
418 2916 R   
419 3183 R   
420 3185 R   
421 2918 R   
422 3063 R   
423 3184 R   
424 2917 R   
425 2837 R   
426 3356 R   
427 3064 R   
428 2738 R   
429 2564 R   
430 3318 R   
431 2741 R   
432 2740 R   
433 2739 R   
434 3062 R   
435 2565 R   
436 3061 R   
437 2919 R   
438 3186 R   
439 3188 R   
440 2921 R   
441 3067 R   
442 3187 R   
443 2920 R   
444 2838 R   
445 3357 R   
446 3068 R   
447 2742 R   
448 2566 R   
449 3319 R   
450 2745 R   
451 2744 R   
452 2743 R   
453 3066 R   
454 2567 R   
455 3065 R   
456 2922 R   
457 3189 R   
458 3191 R   
459 2924 R   
460 3071 R   
461 3190 R   
462 2923 R   
463 2839 R   
464 3358 R   
465 3072 R   
466 2746 R   
467 2568 R   
468 3320 R   
469 2749 R   
470 2748 R   
471 2747 R   
472 3070 R   
473 2569 R   
474 3069 R   
475 2925 R   
476 3192 R   
477 3194 R   
478 2927 R   
479 3075 R   
480 3193 R   
481 2926 R   
482 2840 R   
483 3359 R   
484 3076 R   
485 2750 R   
486 2570 R   
487 3321 R   
488 2753 R   
489 2752 R   
490 2751 R   
491 3074 R   
492 2571 R   
493 3073 R   
494 2928 R   
495 3195 R   
496 3197 R   
497 2930 R   
498 3079 R   
499 3196 R   
500 2929 R   
501 2841 R   
502 3360 R   
503 3080 R   
504 2754 R   
505 2572 R   
506 3322 R   
507 2757 R   
508 2756 R   
509 2755 R   
510 3078 R   
511 2573 R   
512 3077 R   
513 2931 R   
514 3198 R   
515 3200 R   
516 2933 R   
517 3083 R   
518 3199 R   
519 2932 R   
520 2842 R   
521 3361 R   
522 3084 R   
523 2758 R   
524 2574 R   
525 3323 R   
526 2761 R   
527 2760 R   
528 2759 R   
529 3082 R   
530 2575 R   
531 3081 R   
532 2934 R   
533 3201 R   
534 3203 R   
535 2936 R   
536 3087 R   
537 3202 R   
538 2935 R   
539 2843 R   
540 3362 R   
541 3088 R   
542 2762 R   
543 2576 R   
544 3324 R   
545 2765 R   
546 2764 R   
547 2763 R   
548 3086 R   
549 2577 R   
550 3085 R   
551 2937 R   
552 3204 R   
553 3206 R   
554 2939 R   
555 3091 R   
556 3205 R   
557 2938 R   
558 2844 R   
559 3363 R   
560 3092 R   
561 2766 R   
562 2578 R   
563 3325 R   
564 2769 R   
565 2768 R   
566 2767 R   
567 3090 R   
568 2579 R   
569 3089 R   
570 2940 R   
571 3207 R   
572 3209 R   
573 2942 R   
574 3095 R   
575 3208 R   
576 2941 R   
577 2845 R   
578 3364 R   
579 3096 R   
580 2770 R   
581 2580 R   
582 3326 R   
583 2773 R   
584 2772 R   
585 2771 R   
586 3094 R   
587 2581 R   
588 3093 R   
589 2943 R   
590 3210 R   
591 3212 R   
592 2945 R   
593 3099 R   
594 3211 R   
595 2944 R   
596 2846 R   
597 3365 R   
598 3100 R   
599 2774 R   
600 2582 R   
601 3327 R   
602 2777 R   
603 2776 R   
604 2775 R   
605 3098 R   
606 2583 R   
607 3097 R   
608 2946 R   
609 3213 R   
610 3215 R   
611 2948 R   
612 3103 R   
613 3214 R   
614 2947 R   
615 2847 R   
616 3366 R   
617 3104 R   
618 2778 R   
619 2584 R   
620 3328 R   
621 2781 R   
622 2780 R   
623 2779 R   
624 3102 R   
625 2585 R   
626 3101 R   
627 2949 R   
628 3216 R   
629 3218 R   
630 2951 R   
631 3107 R   
632 3217 R   
633 2950 R   
634 2848 R   
635 3367 R   
636 3108 R   
637 2782 R   
638 2586 R   
639 3329 R   
640 2785 R   
641 2784 R   
642 2783 R   
643 3106 R   
644 2587 R   
645 3105 R   
646 2952 R   
647 3219 R   
648 3221 R   
649 2954 R   
650 3111 R   
651 3220 R   
652 2953 R   
653 2849 R   
654 3368 R   
655 3112 R   
656 2786 R   
657 2588 R   
658 3330 R   
659 2789 R   
660 2788 R   
661 2787 R   
662 3110 R   
663 2589 R   
664 3109 R   
665 2955 R   
666 3222 R   
667 3224 R   
668 2957 R   
669 3115 R   
670 3223 R   
671 2956 R   
672 2850 R   
673 3369 R   
674 3116 R   
675 2790 R   
676 2590 R   
677 3331 R   
678 2793 R   
679 2792 R   
680 2791 R   
681 3114 R   
682 2591 R   
683 3113 R   
684 2958 R   
685  332 R   
686  333 R   
687  334 R   
688  335 R   
689  336 R   
690  337 R   
691  338 R   
692  339 R   
693  340 R   
694  341 R   
695  342 R   
696  343 R   
697  344 R   
698  345 R   
699  346 R   
700  347 R   
701  348 R   
702  349 R   
703  350 R   
704  351 R   
705  352 R   
706  353 R   
707  354 R   
708  355 R   
709  356 R   
710  357 R   
711  358 R   
712  359 R   
713  360 R   
714  361 R   
715  362 R   
716  363 R   
717  364 R   
718  365 R   
719  366 R   
720  367 R   
721  368 R   
722  369 R   
723  370 R   
724  371 R   
725  372 R   
726  373 R   
727  374 R   
728  375 R   
729  376 R   
730  377 R   
731  378 R   
732  379 R   
733  380 R   
734  381 R   
735  382 R   
736  383 R   
737  384 R   
738  385 R   
739  386 R   
740  387 R   
741  388 R   
742  389 R   
743  390 R   
744  391 R   
745  392 R   
746  393 R   
747  394 R   
748  395 R   
749  396 R   
750  397 R   
751  398 R   
752  399 R   
753  400 R   
754  401 R   
755  402 R   
756  403 R   
757  404 R   
758  405 R   
759  406 R   
760  407 R   
761  408 R   
762  409 R   
763  410 R   
764  411 R   
765  412 R   
766  413 R   
767  414 R   
768  415 R   
769  416 R   
770  417 R   
771  418 R   
772  419 R   
773  420 R   
774  421 R   
775  422 R   
776  423 R   
777  424 R   
778  425 R   
779  426 R   
780  427 R   
781  428 R   
782  429 R   
783  430 R   
784  431 R   
785  432 R   
786  433 R   
787  434 R   
788  435 R   
789  436 R   
790  437 R   
791  438 R   
792  439 R   
793  440 R   
794  441 R   
795  442 R   
796  443 R   
797  444 R   
798  445 R   
799  446 R   
800  447 R   
801  448 R   
802  449 R   
803  450 R   
804  451 R   
805  452 R   
806  453 R   
807  454 R   
808  455 R   
809  456 R   
810  457 R   
811  458 R   
812  459 R   
813  460 R   
814  461 R   
815  462 R   
816  463 R   
817  464 R   
818  465 R   
819  466 R   
820  467 R   
821  468 R   
822  469 R   
823  470 R   
824  471 R   
825  472 R   
826  473 R   
827  474 R   
828  475 R   
829  476 R   
830  477 R   
831  478 R   
832  479 R   
833  480 R   
834  481 R   
835  482 R   
836  483 R   
837  484 R   
838  485 R   
839  486 R   
840  487 R   
841  488 R   
842  489 R   
843  490 R   
844  491 R   
845  492 R   
846  493 R   
847  494 R   
848  495 R   
849  496 R   
850  497 R   
851  498 R   
852  499 R   
853  500 R   
854  501 R   
855  502 R   
856  503 R   
857  504 R   
858  505 R   
859  506 R   
860  507 R   
861  508 R   
862  509 R   
863  510 R   
864  511 R   
865  512 R   
866  513 R   
867  514 R   
868  515 R   
869  516 R   
870  517 R   
871  518 R   
872  519 R   
873  520 R   
874  521 R   
875  522 R   
876  523 R   
877  524 R   
878  525 R   
879  526 R   
880  527 R   
881  528 R   
882  529 R   
883  530 R   
884  531 R   
885  532 R   
886  533 R   
887  534 R   
888  535 R   
889  536 R   
890  537 R   
891  538 R   
892  539 R   
893  540 R   
894  541 R   
895  542 R   
896  543 R   
897  544 R   
898  545 R   
899  546 R   
900  547 R   
901  548 R   
902  549 R   
903  550 R   
904  551 R   
905  552 R   
906  553 R   
907  554 R   
908  555 R   
909  556 R   
910  557 R   
911  558 R   
912  559 R   
913  560 R   
914  561 R   
915  562 R   
916  563 R   
917  564 R   
918  565 R   
919  566 R   
920  567 R   
921  568 R   
922  569 R   
923  570 R   
924  571 R   
925  572 R   
926  573 R   
927  574 R   
928  575 R   
929  576 R   
930  577 R   
931  578 R   
932  579 R   
933  580 R   
934  581 R   
935  582 R   
936  583 R   
937  584 R   
938  585 R   
939  586 R   
940  587 R   
941  588 R   
942  589 R   
943  590 R   
944  591 R   
945  592 R   
946  593 R   
947  594 R   
948  595 R   
949  596 R   
950  597 R   
951  598 R   
952  599 R   
953  600 R   
954  601 R   
955  602 R   
956  603 R   
957  604 R   
958  605 R   
959  606 R   
960  607 R   
961  608 R   
962  609 R   
963  610 R   
964  611 R   
965  612 R   
966  613 R   
967  614 R   
968  615 R   
969  616 R   
970  617 R   
971  618 R   
972  619 R   
973  620 R   
974  621 R   
975  622 R   
976  623 R   
977  624 R   
978  625 R   
979  626 R   
980  627 R   
981  628 R   
982  629 R   
983  630 R   
984  631 R   
985  632 R   
986  633 R   
987  634 R   
988  635 R   
989  636 R   
990  637 R   
991  638 R   
992  639 R   
993  640 R   
994  641 R   
995  642 R   
996  643 R   
997  644 R   
998  645 R   
999  646 R   
999  647 R   
999  648 R   
999  649 R   
999  650 R   
999  651 R   
999  652 R   
999  653 R   
999  654 R   
999  655 R   
999  656 R   
999  657 R   
999  658 R   
999  659 R   
999  660 R   
999  661 R   
999  662 R   
999  663 R   
999  664 R   
999  665 R   
999  666 R   
999  667 R   
999  668 R   
999  669 R   
999  670 R   
999  671 R   
999  672 R   
999  673 R   
999  674 R   
999  675 R   
999  676 R   
999  677 R   
999  678 R   
999  679 R   
999  680 R   
999  681 R   
999  682 R   
999  683 R   
999  684 R   
999  685 R   
999  686 R   
999  687 R   
999  688 R   
999  689 R   
999  690 R   
999  691 R   
999  692 R   
999  693 R   
999  694 R   
999  695 R   
999  696 R   
999  697 R   
999  698 R   
999  699 R   
999  700 R   
999  701 R   
999  702 R   
999  703 R   
999  704 R   
999  705 R   
999  706 R   
999  707 R   
999  708 R   
999  709 R   
999  710 R   
999  711 R   
999  712 R   
999  713 R   
999  714 R   
999  715 R   
999  716 R   
999  717 R   
999  718 R   
999  719 R   
999  720 R   
999  721 R   
999  722 R   
999  723 R   
999  724 R   
999  725 R   
999  726 R   
999  727 R   
999  728 R   
999  729 R   
999  730 R   
999  731 R   
999  732 R   
999  733 R   
999  734 R   
999  735 R   
999  736 R   
999  737 R   
999  753 R   
999  754 R   
999  755 R   
999  756 R   
999  757 R   
999  758 R   
999  759 R   
