**** Planta:    7 MASC. MORAES Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2026 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2027 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2028 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2029 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2030 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2031 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2032 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2033 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2034 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2035 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2036 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2037 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2038 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2039 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
**** Planta:   43 _TRES IRMAOS Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
