$version=1
!Code,N,A0,A1,A2,A3,A4
204,4,15566.36,-1282.549,39.50614,-0.5397319,0.002763734
277,4,148356.1,-11635.12,336.7138,-4.25758,0.02018732
280,4,-5104.134,572.7716,-24.16383,0.4530707,-0.00317235
284,4,22.74524,-4.599345,0.3983573,-0.01212489,0.000142737
286,4,-51560.3,5115.733,-169.2,1.866667,0
339,4,-1642.53,174.6397,-5.3326,0.05037333,0
421,4,-132.72,0.976,0,0,0
