$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
   6 PCHES000428      0    0    1     0.9        1       0    0   426       0      10       4
   7 PCHES000491      0    0    1    0.24        1       0    0   426       0      10       4
   8 PCHES027182      0    0    1    0.24        1       0    0   426       0      10       4
   9 PCHES038158      0    0    1   1.512        1       0    0   426       0      10       4
  10 PCHGO001298      0    0    1   3.992        1       0    0   325       0      10       4
  11 PCHGO029647      0    0    1    1.84        1       0    0   426       0      10       4
  12 PCHGO031086      0    0    1   0.958        1       0    0   325       0      10       4
  13 PCHGO038152      0    0    1       3        1       0    0   426       0      10       4
  14 PCHMG000298      0    0    1    0.72        1       0    0   326       0      10       4
  15 PCHMG000318      0    0    1     2.9        1       0    0   426       0      10       4
  16 PCHMG000345      0    0    1    4.55        1       0    0   426       0      10       4
  17 PCHMG000404      0    0    1   0.302        1       0    0   325       0      10       4
  18 PCHMG000526      0    0    1    3.83        1       0    0   426       0      10       4
  19 PCHMG000667      0    0    1     4.2        1       0    0   426       0      10       4
  20 PCHMG001192      0    0    1       4        1       0    0   327       0      10       4
  21 PCHMG001220      0    0    1    0.72        1       0    0   426       0      10       4
  22 PCHMG001252      0    0    1   1.568        1       0    0   325       0      10       4
  23 PCHMG001344      0    0    1    1.61        1       0    0   426       0      10       4
  24 PCHMG001438      0    0    1   0.416        1       0    0   325       0      10       4
  25 PCHMG001462      0    0    1   0.736        1       0    0   328       0      10       4
  26 PCHMG001928      0    0    1       5        1       0    0   426       0      10       4
  27 PCHMG002055      0    0    1     0.8        1       0    0   328       0      10       4
  28 PCHMG002065      0    0    1   0.672        1       0    0   328       0      10       4
  29 PCHMG002225      0    0    1    0.68        1       0    0   325       0      10       4
  30 PCHMG002535      0    0    1   0.768        1       0    0   325       0      10       4
  31 PCHMG002656      0    0    1   2.394        1       0    0   426       0      10       4
  32 PCHMG002686      0    0    1   0.955        1       0    0   426       0      10       4
  33 PCHMG002782      0    0    1    2.12        1       0    0   325       0      10       4
  34 PCHMG003059      0    0    1   1.808        1       0    0   426       0      10       4
  35 PCHMG026725      0    0    1       1        1       0    0   325       0      10       4
  36 PCHMG027129      0    0    1     2.5        1       0    0   326       0      10       4
  37 PCHMG027139      0    0    1     0.8        1       0    0   329       0      10       4
  38 PCHMG027421      0    0    1   0.704        1       0    0   327       0      10       4
  39 PCHMG027719      0    0    1    4.35        1       0    0   426       0      10       4
  40 PCHMG027928      0    0    1   0.424        1       0    0   325       0      10       4
  41 PCHMG028018      0    0    1   0.528        1       0    0   326       0      10       4
  42 PCHMG028019      0    0    1    0.18        1       0    0   326       0      10       4
  43 PCHMG028020      0    0    1   0.428        1       0    0   327       0      10       4
  44 PCHMG028022      0    0    1     0.8        1       0    0   326       0      10       4
  45 PCHMG028023      0    0    1    0.68        1       0    0   325       0      10       4
  46 PCHMG028242      0    0    1       1        1       0    0   330       0      10       4
  47 PCHMG028381      0    0    1   3.375        1       0    0   325       0      10       4
