$version=1
MOD: 01/01/2025
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 917 RSSU-6931       1    0               0 23.1076       0       0       0                                                                                          0                                          0
 918 RSSU-7079       1    0               0  22.726       0       0       0                                                                                          0                                          0
MOD: 01/07/2027
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 810 B. BONITA I2    1    0               0    9.39   17.24 19.8138       0                                                                                          0                                          0
MOD: 01/01/2028
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 879 RCSU-51711      1    0               0 72.6277       0       0       0                                                                                          0                                          0
 880 RCSU-7080       1    0               0 58.4456       0       0       0                                                                                          0                                          0
 881 RCSU-6900       1    0               0 48.1148       0       0       0                                                                                          0                                          0
 882 RCSU-7119       1    0               0 45.1223       0       0       0                                                                                          0                                          0
 883 RCSU-7078       1    0               0 44.2636       0       0       0                                                                                          0                                          0
 884 RCSU-7122       1    0               0 42.4681       0       0       0                                                                                          0                                          0
 885 RCSU-6954       1    0               0   35.39       0       0       0                                                                                          0                                          0
 886 RCSU-7235       1    0               0 34.8176       0       0       0                                                                                          0                                          0
 887 RCSU-6931       1    0               0 34.6614       0       0       0                                                                                          0                                          0
 888 RCSU-7079       1    0               0 34.0889       0       0       0                                                                                          0                                          0
 909 RSSU-51711      1    0               0 72.6277       0       0       0                                                                                          0                                          0
 910 RSSU-7080       1    0               0 58.4456       0       0       0                                                                                          0                                          0
 911 RSSU-6900       1    0               0 48.1148       0       0       0                                                                                          0                                          0
 912 RSSU-7119       1    0               0 45.1223       0       0       0                                                                                          0                                          0
 913 RSSU-7078       1    0               0 44.2636       0       0       0                                                                                          0                                          0
 914 RSSU-7122       1    0               0 42.4681       0       0       0                                                                                          0                                          0
 915 RSSU-6954       1    0               0   35.39       0       0       0                                                                                          0                                          0
 916 RSSU-7235       1    0               0 34.8176       0       0       0                                                                                          0                                          0
