GD_AME,GD_CEA,GD_CEB,GD_CEEE,GD_CELESC,GD_CELPE,GD_CEMIG,GD_COELBA,GD_COPEL,GD_COSERN,GD_CPFL_PA,GD_CPFL_PI,GD_CPFL_SC,GD_EAC,GD_EDP_ES,GD_EDP_SP,GD_ELEKTRO,GD_EMG,GD_EMS,GD_EMT,GD_ENEL_CE,GD_ENEL_RJ,GD_ENEL_SP,GD_EPB,GD_EQ_AL,GD_EQ_GO,GD_EQ_MA,GD_EQ_PA,GD_EQ_PI,GD_ERO,GD_ESE,GD_ESS,GD_ETO,GD_LIGHT,GD_RGE,GD_RORAIMA,GD_SULGIPE
0.126034543013112,0.128451581188335,0.155189804138269,0.171161954650687,0.154927523624839,0.175794019273595,0.163755711904838,0.174959856715996,0.160506906923962,0.175973824558957,0.158183153169136,0.149080340515449,0.152688502902572,0.133699695941975,0.167286625194957,0.148373299219746,0.154851075505499,0.159583438199532,0.162183983317506,0.143781352498861,0.159948183717803,0.163543022460034,0.135610812888989,0.175166609586232,0.17451326124418,0.155871211506139,0.141810724418446,0.130444772504581,0.160773243497838,0.126759562319653,0.177047268204135,0.160699817711758,0.149732237539378,0.153281985433628,0.173962951811255,0.143093777310919,0.176240395909284
0.133834488094908,0.124956306058034,0.168479542495959,0.16851297020523,0.155883128401089,0.175730652831623,0.17860658536733,0.178104137114275,0.163304908450916,0.179909636210611,0.172671544590289,0.164515466287654,0.166787806355425,0.140696674764095,0.180805925907511,0.164781623409944,0.167396965923853,0.176032064888523,0.169709585325604,0.148687979044424,0.163845994943392,0.180318524120383,0.151046892400695,0.178740350178257,0.17527698542357,0.166401466522084,0.146822540495074,0.132996496100582,0.162710981577459,0.130337502075222,0.177360587329758,0.171105215119897,0.154475418744453,0.170883100917085,0.17431520329657,0.146376748163772,0.176554200137389
0.132553337557657,0.125397757509992,0.159207154404019,0.161535185141035,0.15212143987568,0.181431439712062,0.163814102932756,0.175777053026914,0.162605818743966,0.183702184493858,0.165308925328437,0.156086300122698,0.160436858302161,0.129139436678749,0.163801295835017,0.151087616240836,0.161279276365727,0.157729270569189,0.171046190775521,0.150632170764404,0.166629117413549,0.158920654455713,0.140175305766147,0.184289911963123,0.181093481237582,0.162404961790071,0.148455234908084,0.134545037708306,0.165096680754981,0.134900220129916,0.181078877275516,0.168077597454476,0.152778960033061,0.152438840637378,0.166990934921066,0.150203623008611,0.180248630172851
0.129547983571686,0.128057753852596,0.167931885742861,0.142447148261141,0.137837618188581,0.169674697498463,0.166215230345849,0.164818359533996,0.152040805460936,0.176574483509021,0.167422572757032,0.153823235009418,0.160613174438325,0.141463739107163,0.153050668112762,0.150091531362296,0.158632374161663,0.151355510819552,0.167510993054547,0.156567106364039,0.157630748503207,0.152815385028007,0.137720606361993,0.17611490843075,0.164078457157058,0.171553317530558,0.15139915538371,0.134631393477031,0.166625183335277,0.141855425139596,0.163048880410942,0.164901442371667,0.160028808873479,0.147300195394948,0.149038596175462,0.142095804217554,0.158130651983828
0.123300213926545,0.135720885336677,0.171237152858653,0.114202295219075,0.117948491562557,0.151426606146279,0.156351750170415,0.155060797196356,0.1301200432363,0.166278712934999,0.151041107227205,0.135925919575896,0.141221839825056,0.133338042387525,0.139129795499614,0.133180350344596,0.141463569969494,0.137488767884466,0.147823799212688,0.155766492810427,0.160017124407488,0.137205751647569,0.122326275305343,0.160030444753458,0.141515114704796,0.170058212658564,0.15650851439186,0.140834434039973,0.171239074707352,0.133428676628792,0.141755079134196,0.145618006015048,0.168544564581161,0.131141176643528,0.12132020264825,0.131396850199858,0.139053712092385
0.134221963922663,0.141830820412468,0.173005478380661,0.100643809596837,0.105382852966638,0.140966395670721,0.15289851971592,0.150013630658626,0.12062364423668,0.15532606924989,0.146884105333561,0.131400395778684,0.137043206605946,0.137205822123517,0.134332999416268,0.130154442572471,0.135768634065372,0.136035042344031,0.143753773334411,0.160122666094335,0.159282950919823,0.134195612816852,0.118441179228446,0.148030676690496,0.131551608880037,0.166239597073288,0.16472355110948,0.151281906834525,0.1743183889942,0.146995058918423,0.134134858210225,0.139706229753246,0.172003163852199,0.128689701588642,0.105768078543239,0.137506371657418,0.132804062345711
0.136345291362277,0.146538460946955,0.180262879326013,0.106808952524676,0.112917521181253,0.147018912769911,0.160008264267685,0.156631379719967,0.12702538455841,0.162566037594632,0.152367954238231,0.132626836590598,0.141282691522601,0.144246816092727,0.134938617414084,0.13170076026758,0.138966148931402,0.139995336630139,0.147167699494937,0.165319838193252,0.168560562998386,0.133994260993211,0.118958572347101,0.154236368380972,0.134023882267489,0.172469332602441,0.169732400088469,0.152316016080752,0.182536783686991,0.151584152510908,0.136420682729421,0.145425123604922,0.178413455989104,0.128820842838126,0.116160460692744,0.139956280873867,0.135868964266726
0.153843407116622,0.158727449922978,0.201660648843665,0.122990345415711,0.136329581920848,0.168872826381065,0.17970904974214,0.172376958605714,0.155131899044159,0.182546734538692,0.176111379808257,0.15868348301782,0.167551901005245,0.161677626118564,0.151372432752987,0.157618300052679,0.163312959424732,0.159269162318469,0.17096631932763,0.178370371614474,0.188859481432006,0.155015221455946,0.143442020401926,0.175866921597988,0.151150746892256,0.191764100569603,0.183910131271059,0.165631269902406,0.199773021948739,0.160770241167873,0.151590208979515,0.171310859577681,0.194033913859889,0.150745340438467,0.136129340650091,0.155005762830171,0.147972711348165
0.153785545344114,0.164812379958469,0.183455188520212,0.125689548423214,0.125276492873387,0.187640515599154,0.17448663213479,0.182491124530411,0.143802941792538,0.191517590551544,0.162318437590419,0.146075296220179,0.154774997648636,0.159633881253767,0.155025994518353,0.143492058281962,0.150549691932686,0.156579281817992,0.16089660691972,0.1614534323601,0.196543269233763,0.149178760232333,0.128500864627319,0.188967301909786,0.170780331949957,0.175343372026282,0.186757007699063,0.158752982599101,0.204410467430762,0.152912561632359,0.169559246747562,0.157871981606886,0.181823146974163,0.143104008405207,0.13335435238208,0.16638162263727,0.166045142627678
0.14900918603065,0.162528757865842,0.167528428044647,0.148919154363906,0.135333466443655,0.187367205292314,0.166042947338696,0.176312246402712,0.151155122622713,0.192050307915076,0.16575740882871,0.148834428144413,0.157858716732269,0.151799173507369,0.148867617159606,0.146024162876203,0.154095954036063,0.150280230440569,0.163787829396702,0.155682580424411,0.191947210247371,0.148313892302137,0.129697898967844,0.189892713493891,0.174951266062409,0.165142549158281,0.170422387516358,0.152753266736405,0.191387847328109,0.150753471163444,0.172494076789759,0.163439561952882,0.161853438020607,0.143266119420342,0.153622466086104,0.164163232081066,0.169765747589186
