$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
   1 PCHAL030112      0    0    1    0.84        1       0    0   323       0      10       4
   2 PCHBA029697      0    0    1     0.4        1       0    0   324       0      10       4
   3 PCHBA029698      0    0    1   0.144        1       0    0   324       0      10       4
   4 PCHBA029699      0    0    1     0.3        1       0    0   324       0      10       4
   5 PCHBA030590      0    0    1   0.534        1       0    0   324       0      10       4
 103 PCHPE028091      0    0    1     4.5        1       0    0   424       0      10       4
 104 PCHPE028359      0    0    1       1        1       0    0   333       0      10       4
 105 PCHPE028693      0    0    1   0.144        1       0    0   424       0      10       4
 106 PCHPE028695      0    0    1   1.024        1       0    0   424       0      10       4
 332 EOLBA030283      0    0    1   35.07        1       0    0   287       0      10       1
 333 EOLBA030288      0    0    1      30        1       0    0   286       0      10       1
 334 EOLBA030305      0    0    1   30.06        1       0    0   287       0      10       1
 335 EOLBA030306      0    0    1   28.39        1       0    0   287       0      10       1
 336 EOLBA030314      0    0    1    19.2        1       0    0   287       0      10       1
 337 EOLBA030315      0    0    1    11.2        1       0    0   287       0      10       1
 338 EOLBA030316      0    0    1     9.6        1       0    0   287       0      10       1
 339 EOLBA030317      0    0    1      24        1       0    0   287       0      10       1
 340 EOLBA030318      0    0    1    28.8        1       0    0   287       0      10       1
 341 EOLBA030319      0    0    1    25.6        1       0    0   287       0      10       1
 342 EOLBA030320      0    0    1       8        1       0    0   287       0      10       1
 343 EOLBA030321      0    0    1    30.4        1       0    0   287       0      10       1
 344 EOLBA030322      0    0    1    27.2        1       0    0   287       0      10       1
 345 EOLBA030323      0    0    1     6.4        1       0    0   287       0      10       1
 346 EOLBA030324      0    0    1      24        1       0    0   287       0      10       1
 347 EOLBA030328      0    0    1    20.8        1       0    0   287       0      10       1
 348 EOLBA030341      0    0    1    30.4        1       0    0   287       0      10       1
 349 EOLBA030342      0    0    1    28.8        1       0    0   287       0      10       1
 350 EOLBA030437      0    0    1      30        1       0    0   287       0      10       1
 351 EOLBA030443      0    0    1      30        1       0    0   285       0      10       1
 352 EOLBA030448      0    0    1      30        1       0    0   287       0      10       1
 353 EOLBA030455      0    0    1      30        1       0    0   285       0      10       1
 354 EOLBA030456      0    0    1  31.465        1       0    0   285       0      10       1
 355 EOLBA030476      0    0    1   23.52        1       0    0   287       0      10       1
 356 EOLBA030490      0    0    1   21.84        1       0    0   287       0      10       1
 357 EOLBA030495      0    0    1   31.86        1       0    0   287       0      10       1
 358 EOLBA030506      0    0    1   30.24        1       0    0   287       0      10       1
 359 EOLBA030544      0    0    1      30        1       0    0   287       0      10       1
 360 EOLBA030546      0    0    1   30.24        1       0    0   287       0      10       1
 361 EOLBA030608      0    0    1      18        1       0    0   286       0      10       1
 362 EOLBA030725      0    0    1    29.9        1       0    0   286       0      10       1
 363 EOLBA030726      0    0    1    29.9        1       0    0   286       0      10       1
 364 EOLBA030727      0    0    1    29.9        1       0    0   286       0      10       1
 365 EOLBA030731      0    0    1   16.65        1       0    0   287       0      10       1
 366 EOLBA030732      0    0    1   12.95        1       0    0   287       0      10       1
 367 EOLBA030738      0    0    1    29.6        1       0    0   287       0      10       1
 368 EOLBA030739      0    0    1    22.2        1       0    0   287       0      10       1
 369 EOLBA030751      0    0    1   31.45        1       0    0   287       0      10       1
 370 EOLBA030752      0    0    1   27.75        1       0    0   287       0      10       1
 371 EOLBA030753      0    0    1    29.6        1       0    0   287       0      10       1
 372 EOLBA030768      0    0    1   30.24        1       0    0   287       0      10       1
 373 EOLBA030776      0    0    1   30.24        1       0    0   287       0      10       1
 374 EOLBA030778      0    0    1   28.56        1       0    0   287       0      10       1
 375 EOLBA030779      0    0    1   28.56        1       0    0   287       0      10       1
 376 EOLBA030792      0    0    1   30.24        1       0    0   287       0      10       1
 377 EOLBA030793      0    0    1   21.84        1       0    0   287       0      10       1
 378 EOLBA030801      0    0    1    28.2        1       0    0   287       0      10       1
 379 EOLBA030802      0    0    1   18.48        1       0    0   287       0      10       1
