**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2036 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52
2037 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52
2038 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52
2039 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52 3456.52
**** Fuel:    167 CARVAO      
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  533.05  533.05  533.05  533.05  533.05  533.05  533.05  533.05  533.05  533.05  533.05  533.05
2026  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28
2027  535.51  535.51  535.51  535.51  535.51  535.51  535.51  535.51  535.51  535.51  535.51  535.51
2028  536.75  536.75  536.75  536.75  536.75  536.75  536.75  536.75  536.75  536.75  536.75  536.75
2029  537.98  537.98  537.98  537.98  537.98  537.98  537.98  537.98  537.98  537.98  537.98  537.98
2030  539.21  539.21  539.21  539.21  539.21  539.21  539.21  539.21  539.21  539.21  539.21  539.21
2031  539.83  539.83  539.83  539.83  539.83  539.83  539.83  539.83  539.83  539.83  539.83  539.83
2032  541.06  541.06  541.06  541.06  541.06  541.06  541.06  541.06  541.06  541.06  541.06  541.06
2033  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28  534.28
2034  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73
2035  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73
2036  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73
2037  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73
2038  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73
2039  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73  528.73
**** Fuel:    163 CARVAO (163)
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  530.93  530.93  530.93  530.93  530.93  530.93  530.93  530.93  530.93  530.93  530.93  530.93
2026   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1
2027  533.27  533.27  533.27  533.27  533.27  533.27  533.27  533.27  533.27  533.27  533.27  533.27
2028  534.44  534.44  534.44  534.44  534.44  534.44  534.44  534.44  534.44  534.44  534.44  534.44
2029  535.61  535.61  535.61  535.61  535.61  535.61  535.61  535.61  535.61  535.61  535.61  535.61
2030  536.78  536.78  536.78  536.78  536.78  536.78  536.78  536.78  536.78  536.78  536.78  536.78
2031  537.37  537.37  537.37  537.37  537.37  537.37  537.37  537.37  537.37  537.37  537.37  537.37
2032  538.54  538.54  538.54  538.54  538.54  538.54  538.54  538.54  538.54  538.54  538.54  538.54
2033   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1   532.1
2034  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84
2035  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84
2036  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84
2037  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84
2038  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84
2039  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84  526.84
**** Fuel:    224 GNL         
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025  425.68  425.68  425.68  425.68  425.68  425.68  425.68  425.68  425.68  425.68  425.68  425.68
2026  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59
2027   427.5   427.5   427.5   427.5   427.5   427.5   427.5   427.5   427.5   427.5   427.5   427.5
2028   428.4   428.4   428.4   428.4   428.4   428.4   428.4   428.4   428.4   428.4   428.4   428.4
2029  429.31  429.31  429.31  429.31  429.31  429.31  429.31  429.31  429.31  429.31  429.31  429.31
2030  430.22  430.22  430.22  430.22  430.22  430.22  430.22  430.22  430.22  430.22  430.22  430.22
2031  430.67  430.67  430.67  430.67  430.67  430.67  430.67  430.67  430.67  430.67  430.67  430.67
2032  431.58  431.58  431.58  431.58  431.58  431.58  431.58  431.58  431.58  431.58  431.58  431.58
2033  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59  426.59
2034   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5   422.5
