A~no Blk ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025   1    10     9    10    10    10    10    10    10    10    10    10    10
2025   2   255   231   275   294   322   263   315   321   284   308   299   266
2025   3   227   209   228   170   195   201   184   175   183   183   205   240
2025   4   252   223   231   246   217   246   235   238   243   243   206   228
2026   1    10     9    10    10    10    10    10    10    10    10    10    10
2026   2   240   257   270   297   325   266   317   321   286   308   300   268
2026   3   236   203   231   166   192   197   179   173   177   184   201   236
2026   4   258   203   233   247   217   247   238   240   247   242   209   230
2027   1    10     9    10    10    10    10    10    10    10    10    10    10
2027   2   239   257   273   294   325   272   317   321   285   318   293   268
2027   3   238   202   231   165   194   194   177   173   176   180   201   235
2027   4   257   204   230   251   215   244   240   240   249   236   216   231
2028   1    10     9    10    10    10    10    10    10    10    10    10    10
2028   2   241   256   273   297   313   272   318   322   286   318   295   268
2028   3   240   202   234   162   195   190   175   172   175   179   197   235
2028   4   253   205   227   251   226   248   241   240   249   237   218   231
2029   1    10     9    10    10    10    10    10    10    10    10    10    10
2029   2   242   255   274   297   315   271   318   323   294   318   292   266
2029   3   240   203   232   163   194   191   174   171   180   179   200   233
2029   4   252   205   228   250   225   248   242   240   236   237   218   235
2030   1    10     9    10    10    10    10    10    10    10    10    10    10
2030   2   239   255   266   297   315   269   318   320   298   316   290   267
2030   3   232   204   232   161   195   193   173   172   177   181   198   230
2030   4   263   204   236   252   224   248   243   242   235   237   222   237
2031   1    10     9    10    10    10    10    10    10    10    10    10    10
2031   2   238   255   264   297   315   269   318   318   298   316   289   264
2031   3   232   203   231   161   195   193   172   173   178   181   198   232
2031   4   264   205   239   252   224   248   244   243   234   237   223   238
2032   1    10     9    10    10    10    10    10    10    10    10    10    10
2032   2   238   254   264   297   317   269   318   320   298   316   288   264
2032   3   233   200   231   159   193   194   172   172   178   181   197   232
2032   4   263   209   239   254   224   247   244   242   234   237   225   238
2033   1    10     9    10    10    10    10    10    10    10    10    10    10
2033   2   237   253   264   292   317   272   318   321   299   316   286   264
2033   3   229   200   231   164   195   191   173   171   177   179   199   233
2033   4   268   210   239   254   222   247   243   242   234   239   225   237
2034   1    10     9    10    10    10    10    10    10    10    10    10    10
2034   2   236   254   266   292   317   272   315   317   298   317   286   259
2034   3   229   198   231   164   195   189   175   175   176   180   198   226
2034   4   269   211   237   254   222   249   244   242   236   237   226   249
2035   1    10     9    10    10    10    10    10    10    10    10    10    10
2035   2   237   254   266   289   316   274   314   316   298   318   286   257
2035   3   228   198   231   164   196   191   176   175   176   179   198   228
2035   4   269   211   237   257   222   245   244   243   236   237   226   249
2036   1    10     9    10    10    10    10    10    10    10    10    10    10
2036   2   237   255   266   288   313   274   312   314   299   318   286   254
2036   3   228   197   231   165   194   191   173   177   175   179   199   230
2036   4   269   211   237   257   227   245   249   243   236   237   225   250
2037   1    10     9    10    10    10    10    10    10    10    10    10    10
2037   2   232   251   268   287   313   271   312   315   298   318   286   233
2037   3   233   201   230   166   194   190   173   176   176   179   199   231
2037   4   269   211   236   257   227   249   249   243   236   237   225   270
2038   1    10     9    10    10    10    10    10    10    10    10    10    10
2038   2   230   252   267   286   313   271   304   316   298   318   286   232
2038   3   235   200   231   167   194   190   173   175   176   179   200   232
2038   4   269   211   236   257   227   249   257   243   236   237   224   270
2039   1    10     9    10    10    10    10    10    10    10    10    10    10
2039   2   235   250   267   286   313   269   303   314   297   320   286   233
2039   3   233   202   231   167   194   192   174   177   177   177   200   231
2039   4   266   211   236   257   227   249   257   243   236   237   224   270
