**** Planta:  117 GUARAPIRANGA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2027 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2028 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2029 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2030 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2031 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2032 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2033 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2034 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2035 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2036 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2037 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2038 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
2039 372.715 372.715 407.808  445.35  445.35 430.565 414.533 400.059 386.075 372.715 372.715 372.715
**** Planta:  148 IRAPE       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2026 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2027 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2028 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2029 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2030 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2031 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2032 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2033 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2034 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2035 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2036 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2037 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2038 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
2039 5590.63 5760.64 5882.61 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5963.92 5501.92 5513.01
**** Planta:  156 TRES MARIAS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2026 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2027 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
2028 15723.8 17847.4 19115.5   19528   19528   19528   19528   19528   19528   19528 17205.7 14975.2
