NUM: 154 ITAPEBI               Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2037  1.99  2.62  2.44  2.67  2.67  2.28  2.11  2.82  3.94  4.51  3.21     2
2038  2.03  2.68  2.49  2.73  2.72  2.32  2.15  2.88  4.03  4.61  3.28  2.03
2039  2.07  2.73  2.54  2.78  2.78  2.37  2.19  2.94  4.11  4.71  3.34  2.06
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 178 XINGO                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.38  0.39  0.32  0.32  0.31  0.28  0.27  0.32  0.36  0.45  0.38  0.35
2026  0.39   0.4  0.32  0.32  0.31  0.29  0.27  0.32  0.37  0.46  0.39  0.35
2027  0.39   0.4  0.33  0.33  0.31  0.29  0.28  0.33  0.38  0.47   0.4  0.36
2028   0.4   0.4  0.33  0.33  0.32   0.3  0.28  0.33  0.38  0.47   0.4  0.36
2029  0.41  0.41  0.33  0.34  0.32   0.3  0.28  0.34  0.39  0.48  0.41  0.37
2030  0.41  0.42  0.34  0.34  0.33   0.3  0.29  0.34   0.4  0.49  0.42  0.38
2031  0.42  0.43  0.34  0.35  0.33  0.31  0.29  0.35   0.4   0.5  0.42  0.38
2032  0.42  0.42  0.35  0.35  0.34  0.31  0.29  0.35  0.41  0.51  0.43  0.39
2033  0.44  0.44  0.36  0.36  0.34  0.32   0.3  0.36  0.42  0.52  0.44   0.4
2034  0.44  0.45  0.36  0.37  0.35  0.32   0.3  0.36  0.43  0.53  0.45   0.4
2035  0.45  0.46  0.37  0.37  0.35  0.33  0.31  0.37  0.43  0.54  0.45  0.41
2036  0.46  0.46  0.37  0.38  0.36  0.33  0.31  0.37  0.44  0.55  0.46  0.42
2037  0.47  0.48  0.38  0.38  0.37  0.34  0.32  0.38  0.45  0.56  0.47  0.42
2038  0.48  0.48  0.39  0.39  0.37  0.34  0.32  0.39  0.45  0.57  0.48  0.43
2039  0.48  0.49  0.39  0.39  0.38  0.35  0.32  0.39  0.46  0.58  0.48  0.43
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 189 P. CAVALO             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025 12.95 13.34 12.71 13.43 16.13 14.64 15.24 16.65 18.35 16.72 11.19 11.26
2026 13.11 13.51 12.87 13.59 16.34 14.82 15.43 16.87  18.6 16.95  11.3 11.37
2027 13.27 13.68 13.02 13.75 16.54 14.96 15.58 17.08 18.83 17.16  11.4 11.46
2028 13.38 13.62 13.17 13.91 16.75 15.17  15.8  17.3 19.11 17.39 11.52  11.6
2029 13.58 14.01 13.32 14.06 16.96 15.34 15.98 17.52 19.36 17.61 11.62  11.7
2030 13.74 14.17 13.47 14.22 17.16 15.51 16.17 17.74 19.61 17.84 11.74 11.82
2031  13.9 14.34 13.61 14.37 17.35 15.64 16.31 17.95 19.84 18.05 11.84 11.91
2032 14.01 14.26 13.77 14.53 17.56 15.84 16.53 18.17 20.11 18.29 11.97 12.06
2033 14.22 14.68 13.91 14.69 17.76    16  16.7 18.37 20.36 18.51 12.08 12.17
2034 14.37 14.84 14.06 14.84 17.96 16.16 16.87 18.58  20.6 18.73 12.19 12.28
2035 14.53 15.01  14.2 14.99 18.14 16.28 17.01 18.78 20.81 18.93 12.28 12.36
2036 14.62  14.9 14.35 15.15 18.34 16.48 17.22 18.99 21.08 19.15  12.4  12.5
2037 14.83 15.33 14.49 15.29 18.53 16.64 17.38 19.19 21.31 19.36  12.5  12.6
2038 14.98 15.48 14.62 15.44 18.72 16.79 17.55 19.38 21.54 19.57  12.6 12.71
2039 15.12 15.64 14.75 15.58  18.9  16.9 17.67 19.57 21.74 19.76 12.68 12.77
2040     0     0     0     0     0     0     0     0     0     0     0     0
NUM: 190 B. ESPERANCA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2025  0.72  0.74  0.71  1.57  4.31  5.17  5.45  5.17  4.13  2.63  1.64  1.46
2026  0.74  0.76  0.72   1.6   4.4  5.29  5.58  5.28  4.21  2.68  1.67  1.48
2027  0.75  0.77  0.73   1.6   4.5  5.43  5.69  5.38  4.29  2.73  1.69   1.5
2028  0.76  0.77  0.74  1.66  4.59  5.52  5.83   5.5  4.38  2.78  1.73  1.53
2029  0.77  0.79  0.75  1.69  4.69  5.64  5.95  5.62  4.47  2.83  1.76  1.56
2030  0.78   0.8  0.76  1.72  4.79  5.76  6.04  5.58  4.46  2.88  1.79  1.58
2031  0.79  0.81  0.77  1.72  4.88  5.91  6.19  5.84  4.64  2.94  1.81  1.61
2032   0.8  0.82  0.78  1.79  4.98  6.01  6.34  5.96  4.73  2.99  1.85  1.64
2033  0.81  0.83  0.79  1.82  5.08  6.14  6.47  6.08  4.82  3.04  1.88  1.66
2034  0.82  0.84   0.8  1.85  5.18  6.26   6.6   6.2  4.91  3.09  1.91  1.69
2035  0.83  0.85  0.81  1.84  5.28  6.41  6.71   6.3  4.99  3.15  1.93  1.71
2036  0.84  0.86  0.81  1.91  5.38  6.51  6.85  6.43  5.08   3.2  1.97  1.74
2037  0.85  0.87  0.82  1.94  5.48  6.63  6.98  6.55  5.17  3.25     2  1.76
2038  0.86  0.88  0.83  1.97  5.57  6.76  7.11  6.67  5.26   3.3  2.03  1.79
2039  0.87  0.89  0.84  1.96  5.67  6.91  7.23  6.77  5.34  3.35  2.05  1.81
2040     0     0     0     0     0     0     0     0     0     0     0     0
