!NUM ...Nombre... .TP ...PrdEsp... ...PrdHid... U .....A0..... .....A1..... .....A2..... .....A3..... .....A4.....
 267 ESTREITO TOC         0.009133         0.66 2          156            0            0            0            0
 272 CURUA-UNA            0.008813         0.11 2     21.39297   0.03364582 -4.00779e-05 2.504245e-08 -2.78947e-12
 275 TUCURUI              0.009126         0.91 2     31.78443  0.002392409 -6.74867e-08 1.047067e-12 -6.34561e-18
 314 B.MONTE COMP          0.00877         0.15 2     86.96391  0.007354717 -2.05592e-06 4.156107e-10 -3.55557e-14
