$version=1
!D/MM/YYYY  .Num ....Name.... KeyWord     Blck .....Value
01/08/2026    16 MA -> XI     CapacTF        4   819.7606     
01/09/2026    16 MA -> XI     CapacTF        1    1087.44     
01/09/2026    16 MA -> XI     CapacTF        2    1087.44     
01/09/2026    16 MA -> XI     CapacTF        3   985.3939     
01/09/2026    16 MA -> XI     CapacTF        4   835.3785     
01/10/2026    16 MA -> XI     CapacTF        1   1071.026     
01/10/2026    16 MA -> XI     CapacTF        2   1071.026     
01/10/2026    16 MA -> XI     CapacTF        3   970.9722     
01/10/2026    16 MA -> XI     CapacTF        4     841.94     
01/11/2026     8 SE -> XI     CapacTF        *       6000     
01/11/2026    16 MA -> XI     CapacTF        1    1057.73     
01/11/2026    16 MA -> XI     CapacTF        2    1057.73     
01/11/2026    16 MA -> XI     CapacTF        3    937.745     
01/11/2026    16 MA -> XI     CapacTF        4   787.7401     
01/12/2026     8 SE -> XI     CapacTF        *       7000     
01/12/2026    16 MA -> XI     CapacTF        1   958.3792     
01/12/2026    16 MA -> XI     CapacTF        2   958.3792     
01/12/2026    16 MA -> XI     CapacTF        3   854.2842     
01/12/2026    16 MA -> XI     CapacTF        4   722.2929     
01/01/2027     8 SE -> XI     CapacTF        *       8000     
01/01/2027    16 MA -> XI     CapacTF        1   899.5032     
01/01/2027    16 MA -> XI     CapacTF        2   899.5032     
01/01/2027    16 MA -> XI     CapacTF        3   789.5856     
01/01/2027    16 MA -> XI     CapacTF        4   649.5057     
01/02/2027    16 MA -> XI     CapacTF        3    799.646     
01/02/2027    16 MA -> XI     CapacTF        4   678.7259     
01/03/2027    16 MA -> XI     CapacTF        1   916.2816     
01/03/2027    16 MA -> XI     CapacTF        2   916.2816     
01/03/2027    16 MA -> XI     CapacTF        3   824.2624     
01/03/2027    16 MA -> XI     CapacTF        4   696.3008     
01/04/2027    16 MA -> XI     CapacTF        1   930.2615     
01/04/2027    16 MA -> XI     CapacTF        2   930.2615     
01/04/2027    16 MA -> XI     CapacTF        3   832.2102     
01/04/2027    16 MA -> XI     CapacTF        4   712.1628     
01/05/2027    16 MA -> XI     CapacTF        1   974.1691     
01/05/2027    16 MA -> XI     CapacTF        2   974.1691     
01/05/2027    16 MA -> XI     CapacTF        3   863.1252     
01/05/2027    16 MA -> XI     CapacTF        4   737.0874     
01/06/2027    16 MA -> XI     CapacTF        1   959.9213     
01/06/2027    16 MA -> XI     CapacTF        2   959.9213     
01/07/2027     8 SE -> XI     CapacTF        *       6000     
01/07/2027    16 MA -> XI     CapacTF        1   1037.767     
01/07/2027    16 MA -> XI     CapacTF        2   1037.767     
01/07/2027    16 MA -> XI     CapacTF        3   938.7634     
01/07/2027    16 MA -> XI     CapacTF        4    789.697     
01/08/2027     8 SE -> XI     CapacTF        *       5000     
01/08/2027    16 MA -> XI     CapacTF        1   1103.521     
01/08/2027    16 MA -> XI     CapacTF        2   1103.521     
01/08/2027    16 MA -> XI     CapacTF        3   996.5748     
01/08/2027    16 MA -> XI     CapacTF        4   835.6095     
01/09/2027    16 MA -> XI     CapacTF        1   1137.708     
01/09/2027    16 MA -> XI     CapacTF        2   1137.708     
01/09/2027    16 MA -> XI     CapacTF        3   1022.754     
01/09/2027    16 MA -> XI     CapacTF        4    849.864     
01/10/2027     2 SE -> NE     CapacTF        1   9700.553     
01/10/2027     2 SE -> NE     CapacTF        2   9700.553     
01/10/2027     2 SE -> NE     CapacTF        4   9700.553     
01/10/2027    16 MA -> XI     CapacTF        1   1119.557     
01/10/2027    16 MA -> XI     CapacTF        2   1119.557     
01/10/2027    16 MA -> XI     CapacTF        3   1005.584     
01/10/2027    16 MA -> XI     CapacTF        4   859.5678     
01/11/2027     8 SE -> XI     CapacTF        *       6000     
01/11/2027    16 MA -> XI     CapacTF        1   1108.757     
01/11/2027    16 MA -> XI     CapacTF        2   1108.757     
01/11/2027    16 MA -> XI     CapacTF        3   971.8016     
01/11/2027    16 MA -> XI     CapacTF        4   804.8718     
01/12/2027     8 SE -> XI     CapacTF        *       7000     
01/12/2027    16 MA -> XI     CapacTF        1   1002.608     
01/12/2027    16 MA -> XI     CapacTF        2   1002.608     
01/12/2027    16 MA -> XI     CapacTF        3   884.5964     
01/12/2027    16 MA -> XI     CapacTF        4   734.6512     
01/01/2028     8 SE -> XI     CapacTF        *       8000     
01/01/2028    16 MA -> XI     CapacTF        1    938.528     
01/01/2028    16 MA -> XI     CapacTF        2    938.528     
01/01/2028    16 MA -> XI     CapacTF        3   818.4268     
01/01/2028    16 MA -> XI     CapacTF        4    664.228     
01/02/2028    16 MA -> XI     CapacTF        1    907.698     
01/02/2028    16 MA -> XI     CapacTF        2    907.698     
01/02/2028    16 MA -> XI     CapacTF        3    797.674     
01/02/2028    16 MA -> XI     CapacTF        4    661.762     
01/03/2028    16 MA -> XI     CapacTF        1    958.113     
01/03/2028    16 MA -> XI     CapacTF        2    958.113     
01/03/2028    16 MA -> XI     CapacTF        3   854.0696     
01/03/2028    16 MA -> XI     CapacTF        4    708.133     
01/04/2028     2 SE -> NE     CapacTF        4   9697.271     
01/04/2028    16 MA -> XI     CapacTF        1   971.7161     
01/04/2028    16 MA -> XI     CapacTF        2   971.7161     
01/04/2028    16 MA -> XI     CapacTF        3   862.7049     
01/04/2028    16 MA -> XI     CapacTF        4   726.7699     
01/05/2028     2 SE -> NE     CapacTF        4   9700.531     
01/05/2028    16 MA -> XI     CapacTF        1   1017.768     
01/05/2028    16 MA -> XI     CapacTF        2   1017.768     
01/05/2028    16 MA -> XI     CapacTF        3   894.7488     
01/05/2028    16 MA -> XI     CapacTF        4    752.952     
01/06/2028    16 MA -> XI     CapacTF        1   1004.165     
01/06/2028    16 MA -> XI     CapacTF        2   1004.165     
01/06/2028    16 MA -> XI     CapacTF        3   899.1079     
01/07/2028     8 SE -> XI     CapacTF        *       6000     
01/07/2028    16 MA -> XI     CapacTF        1   1085.527     
01/07/2028    16 MA -> XI     CapacTF        2   1085.527     
01/07/2028    16 MA -> XI     CapacTF        3    977.566     
01/07/2028    16 MA -> XI     CapacTF        4    807.622     
01/08/2028     8 SE -> XI     CapacTF        *       5000     
01/08/2028    16 MA -> XI     CapacTF        1   1154.514     
01/08/2028    16 MA -> XI     CapacTF        2   1154.514     
01/08/2028    16 MA -> XI     CapacTF        3   1038.526     
01/08/2028    16 MA -> XI     CapacTF        4   854.4928     
01/09/2028    16 MA -> XI     CapacTF        1   1189.575     
01/09/2028    16 MA -> XI     CapacTF        2   1189.575     
01/09/2028    16 MA -> XI     CapacTF        3   1064.613     
01/09/2028    16 MA -> XI     CapacTF        4   871.7688     
01/10/2028     2 SE -> NE     CapacTF        1   9999.947     
01/10/2028     2 SE -> NE     CapacTF        2   9999.947     
01/10/2028     2 SE -> NE     CapacTF        4   9999.947     
01/10/2028    11 NE -> IM     CapacFT        *       6500     
01/10/2028    16 MA -> XI     CapacTF        1   1170.515     
01/10/2028    16 MA -> XI     CapacTF        2   1170.515     
01/10/2028    16 MA -> XI     CapacTF        3   1044.471     
01/10/2028    16 MA -> XI     CapacTF        4   882.5193     
01/11/2028     8 SE -> XI     CapacTF        *       6000     
01/11/2028    16 MA -> XI     CapacTF        1   1159.066     
01/11/2028    16 MA -> XI     CapacTF        2   1159.066     
01/11/2028    16 MA -> XI     CapacTF        3    1009.05     
01/11/2028    16 MA -> XI     CapacTF        4   826.1632     
01/12/2028     8 SE -> XI     CapacTF        *       7000     
01/12/2028    16 MA -> XI     CapacTF        1   1048.047     
01/12/2028    16 MA -> XI     CapacTF        2   1048.047     
01/12/2028    16 MA -> XI     CapacTF        3   918.0364     
01/12/2028    16 MA -> XI     CapacTF        4   753.0232     
01/01/2029     8 SE -> XI     CapacTF        *       8000     
01/01/2029    16 MA -> XI     CapacTF        1   977.5854     
01/01/2029    16 MA -> XI     CapacTF        2   977.5854     
