$version=1
!code,Date,block,Phase
10893,1900/01/01,4,0
10894,1900/01/01,1,0
10894,1900/01/01,2,0
10894,1900/01/01,3,0
10894,1900/01/01,4,0
10895,1900/01/01,1,0
10895,1900/01/01,2,0
10895,1900/01/01,3,0
10895,1900/01/01,4,0
10896,1900/01/01,1,0
10896,1900/01/01,2,0
10896,1900/01/01,3,0
10896,1900/01/01,4,0
10897,1900/01/01,1,0
10897,1900/01/01,2,0
10897,1900/01/01,3,0
10897,1900/01/01,4,0
10898,1900/01/01,1,0
10898,1900/01/01,2,0
10898,1900/01/01,3,0
10898,1900/01/01,4,0
10899,1900/01/01,1,0
10899,1900/01/01,2,0
10899,1900/01/01,3,0
10899,1900/01/01,4,0
10900,1900/01/01,1,0
10900,1900/01/01,2,0
10900,1900/01/01,3,0
10900,1900/01/01,4,0
10901,1900/01/01,1,0
10901,1900/01/01,2,0
10901,1900/01/01,3,0
10901,1900/01/01,4,0
10902,1900/01/01,1,0
10902,1900/01/01,2,0
10902,1900/01/01,3,0
10902,1900/01/01,4,0
10903,1900/01/01,1,0
10903,1900/01/01,2,0
10903,1900/01/01,3,0
10903,1900/01/01,4,0
10904,1900/01/01,1,0
10904,1900/01/01,2,0
10904,1900/01/01,3,0
10904,1900/01/01,4,0
10905,1900/01/01,1,0
10905,1900/01/01,2,0
10905,1900/01/01,3,0
10905,1900/01/01,4,0
10906,1900/01/01,1,0
10906,1900/01/01,2,0
10906,1900/01/01,3,0
10906,1900/01/01,4,0
10907,1900/01/01,1,0
10907,1900/01/01,2,0
10907,1900/01/01,3,0
10907,1900/01/01,4,0
10908,1900/01/01,1,0
10908,1900/01/01,2,0
10908,1900/01/01,3,0
10908,1900/01/01,4,0
10909,1900/01/01,1,0
10909,1900/01/01,2,0
10909,1900/01/01,3,0
10909,1900/01/01,4,0
10910,1900/01/01,1,0
10910,1900/01/01,2,0
10910,1900/01/01,3,0
10910,1900/01/01,4,0
10911,1900/01/01,1,0
10911,1900/01/01,2,0
10911,1900/01/01,3,0
10911,1900/01/01,4,0
10912,1900/01/01,1,0
10912,1900/01/01,2,0
10912,1900/01/01,3,0
10912,1900/01/01,4,0
10913,1900/01/01,1,0
10913,1900/01/01,2,0
10913,1900/01/01,3,0
10913,1900/01/01,4,0
10914,1900/01/01,1,0
10914,1900/01/01,2,0
10914,1900/01/01,3,0
10914,1900/01/01,4,0
10915,1900/01/01,1,0
10915,1900/01/01,2,0
10915,1900/01/01,3,0
10915,1900/01/01,4,0
10916,1900/01/01,1,0
10916,1900/01/01,2,0
10916,1900/01/01,3,0
10916,1900/01/01,4,0
10917,1900/01/01,1,0
10917,1900/01/01,2,0
10917,1900/01/01,3,0
10917,1900/01/01,4,0
10918,1900/01/01,1,0
10918,1900/01/01,2,0
10918,1900/01/01,3,0
10918,1900/01/01,4,0
10919,1900/01/01,1,0
10919,1900/01/01,2,0
10919,1900/01/01,3,0
10919,1900/01/01,4,0
10920,1900/01/01,1,0
10920,1900/01/01,2,0
10920,1900/01/01,3,0
10920,1900/01/01,4,0
10921,1900/01/01,1,0
10921,1900/01/01,2,0
10921,1900/01/01,3,0
10921,1900/01/01,4,0
10922,1900/01/01,1,0
10922,1900/01/01,2,0
10922,1900/01/01,3,0
10922,1900/01/01,4,0
10923,1900/01/01,1,0
10923,1900/01/01,2,0
10923,1900/01/01,3,0
10923,1900/01/01,4,0
10924,1900/01/01,1,0
10924,1900/01/01,2,0
10924,1900/01/01,3,0
10924,1900/01/01,4,0
10925,1900/01/01,1,0
10925,1900/01/01,2,0
10925,1900/01/01,3,0
10925,1900/01/01,4,0
10926,1900/01/01,1,0
10926,1900/01/01,2,0
10926,1900/01/01,3,0
10926,1900/01/01,4,0
10927,1900/01/01,1,0
10927,1900/01/01,2,0
10927,1900/01/01,3,0
10927,1900/01/01,4,0
10928,1900/01/01,1,0
10928,1900/01/01,2,0
10928,1900/01/01,3,0
10928,1900/01/01,4,0
10929,1900/01/01,1,0
10929,1900/01/01,2,0
10929,1900/01/01,3,0
10929,1900/01/01,4,0
10930,1900/01/01,1,0
10930,1900/01/01,2,0
10930,1900/01/01,3,0
10930,1900/01/01,4,0
10931,1900/01/01,1,0
10931,1900/01/01,2,0
10931,1900/01/01,3,0
10931,1900/01/01,4,0
10932,1900/01/01,1,0
10932,1900/01/01,2,0
10932,1900/01/01,3,0
10932,1900/01/01,4,0
10933,1900/01/01,1,0
10933,1900/01/01,2,0
10933,1900/01/01,3,0
10933,1900/01/01,4,0
10934,1900/01/01,1,0
10934,1900/01/01,2,0
10934,1900/01/01,3,0
10934,1900/01/01,4,0
10935,1900/01/01,1,0
10935,1900/01/01,2,0
10935,1900/01/01,3,0
10935,1900/01/01,4,0
10936,1900/01/01,1,0
10936,1900/01/01,2,0
10936,1900/01/01,3,0
10936,1900/01/01,4,0
10937,1900/01/01,1,0
10937,1900/01/01,2,0
10937,1900/01/01,3,0
10937,1900/01/01,4,0
10938,1900/01/01,1,0
10938,1900/01/01,2,0
10938,1900/01/01,3,0
10938,1900/01/01,4,0
10939,1900/01/01,1,0
10939,1900/01/01,2,0
10939,1900/01/01,3,0
10939,1900/01/01,4,0
10940,1900/01/01,1,0
10940,1900/01/01,2,0
10940,1900/01/01,3,0
10940,1900/01/01,4,0
10941,1900/01/01,1,0
10941,1900/01/01,2,0
10941,1900/01/01,3,0
10941,1900/01/01,4,0
10942,1900/01/01,1,0
10942,1900/01/01,2,0
10942,1900/01/01,3,0
10942,1900/01/01,4,0
10943,1900/01/01,1,0
10943,1900/01/01,2,0
10943,1900/01/01,3,0
10943,1900/01/01,4,0
10944,1900/01/01,1,0
10944,1900/01/01,2,0
10944,1900/01/01,3,0
10944,1900/01/01,4,0
10945,1900/01/01,1,0
10945,1900/01/01,2,0
10945,1900/01/01,3,0
10945,1900/01/01,4,0
10946,1900/01/01,1,0
10946,1900/01/01,2,0
10946,1900/01/01,3,0
10946,1900/01/01,4,0
10947,1900/01/01,1,0
10947,1900/01/01,2,0
10947,1900/01/01,3,0
10947,1900/01/01,4,0
10948,1900/01/01,1,0
10948,1900/01/01,2,0
10948,1900/01/01,3,0
10948,1900/01/01,4,0
10949,1900/01/01,1,0
10949,1900/01/01,2,0
10949,1900/01/01,3,0
10949,1900/01/01,4,0
10950,1900/01/01,1,0
10950,1900/01/01,2,0
10950,1900/01/01,3,0
10950,1900/01/01,4,0
10951,1900/01/01,1,0
10951,1900/01/01,2,0
10951,1900/01/01,3,0
10951,1900/01/01,4,0
10952,1900/01/01,1,0
10952,1900/01/01,2,0
10952,1900/01/01,3,0
10952,1900/01/01,4,0
10953,1900/01/01,1,0
10953,1900/01/01,2,0
10953,1900/01/01,3,0
10953,1900/01/01,4,0
10954,1900/01/01,1,0
10954,1900/01/01,2,0
10954,1900/01/01,3,0
10954,1900/01/01,4,0
10955,1900/01/01,1,0
10955,1900/01/01,2,0
10955,1900/01/01,3,0
10955,1900/01/01,4,0
10956,1900/01/01,1,0
10956,1900/01/01,2,0
10956,1900/01/01,3,0
10956,1900/01/01,4,0
10957,1900/01/01,1,0
10957,1900/01/01,2,0
10957,1900/01/01,3,0
10957,1900/01/01,4,0
10958,1900/01/01,1,0
10958,1900/01/01,2,0
10958,1900/01/01,3,0
10958,1900/01/01,4,0
10959,1900/01/01,1,0
10959,1900/01/01,2,0
10959,1900/01/01,3,0
10959,1900/01/01,4,0
10960,1900/01/01,1,0
10960,1900/01/01,2,0
10960,1900/01/01,3,0
10960,1900/01/01,4,0
10961,1900/01/01,1,0
10961,1900/01/01,2,0
10961,1900/01/01,3,0
10961,1900/01/01,4,0
10962,1900/01/01,1,0
10962,1900/01/01,2,0
10962,1900/01/01,3,0
10962,1900/01/01,4,0
10963,1900/01/01,1,0
10963,1900/01/01,2,0
10963,1900/01/01,3,0
10963,1900/01/01,4,0
10964,1900/01/01,1,0
10964,1900/01/01,2,0
10964,1900/01/01,3,0
10964,1900/01/01,4,0
10965,1900/01/01,1,0
10965,1900/01/01,2,0
10965,1900/01/01,3,0
10965,1900/01/01,4,0
10966,1900/01/01,1,0
10966,1900/01/01,2,0
10966,1900/01/01,3,0
10966,1900/01/01,4,0
10967,1900/01/01,1,0
10967,1900/01/01,2,0
10967,1900/01/01,3,0
10967,1900/01/01,4,0
10968,1900/01/01,1,0
10968,1900/01/01,2,0
10968,1900/01/01,3,0
10968,1900/01/01,4,0
10969,1900/01/01,1,0
10969,1900/01/01,2,0
10969,1900/01/01,3,0
10969,1900/01/01,4,0
10970,1900/01/01,1,0
10970,1900/01/01,2,0
10970,1900/01/01,3,0
10970,1900/01/01,4,0
10971,1900/01/01,1,0
10971,1900/01/01,2,0
10971,1900/01/01,3,0
10971,1900/01/01,4,0
10972,1900/01/01,1,0
10972,1900/01/01,2,0
10972,1900/01/01,3,0
10972,1900/01/01,4,0
10973,1900/01/01,1,0
10973,1900/01/01,2,0
10973,1900/01/01,3,0
10973,1900/01/01,4,0
10974,1900/01/01,1,0
10974,1900/01/01,2,0
10974,1900/01/01,3,0
10974,1900/01/01,4,0
10975,1900/01/01,1,0
10975,1900/01/01,2,0
10975,1900/01/01,3,0
10975,1900/01/01,4,0
10976,1900/01/01,1,0
10976,1900/01/01,2,0
10976,1900/01/01,3,0
10976,1900/01/01,4,0
10977,1900/01/01,1,0
10977,1900/01/01,2,0
10977,1900/01/01,3,0
10977,1900/01/01,4,0
10978,1900/01/01,1,0
10978,1900/01/01,2,0
10978,1900/01/01,3,0
10978,1900/01/01,4,0
10979,1900/01/01,1,0
10979,1900/01/01,2,0
10979,1900/01/01,3,0
10979,1900/01/01,4,0
10980,1900/01/01,1,0
10980,1900/01/01,2,0
10980,1900/01/01,3,0
10980,1900/01/01,4,0
10981,1900/01/01,1,0
10981,1900/01/01,2,0
10981,1900/01/01,3,0
10981,1900/01/01,4,0
10982,1900/01/01,1,0
10982,1900/01/01,2,0
10982,1900/01/01,3,0
10982,1900/01/01,4,0
10983,1900/01/01,1,0
10983,1900/01/01,2,0
10983,1900/01/01,3,0
10983,1900/01/01,4,0
10984,1900/01/01,1,0
10984,1900/01/01,2,0
10984,1900/01/01,3,0
10984,1900/01/01,4,0
10985,1900/01/01,1,0
10985,1900/01/01,2,0
10985,1900/01/01,3,0
10985,1900/01/01,4,0
10986,1900/01/01,1,0
10986,1900/01/01,2,0
10986,1900/01/01,3,0
10986,1900/01/01,4,0
10987,1900/01/01,1,0
10987,1900/01/01,2,0
10987,1900/01/01,3,0
10987,1900/01/01,4,0
10988,1900/01/01,1,0
10988,1900/01/01,2,0
10988,1900/01/01,3,0
10988,1900/01/01,4,0
10989,1900/01/01,1,0
10989,1900/01/01,2,0
10989,1900/01/01,3,0
10989,1900/01/01,4,0
10990,1900/01/01,1,0
10990,1900/01/01,2,0
10990,1900/01/01,3,0
10990,1900/01/01,4,0
10991,1900/01/01,1,0
10991,1900/01/01,2,0
10991,1900/01/01,3,0
10991,1900/01/01,4,0
10992,1900/01/01,1,0
10992,1900/01/01,2,0
10992,1900/01/01,3,0
10992,1900/01/01,4,0
10993,1900/01/01,1,0
10993,1900/01/01,2,0
10993,1900/01/01,3,0
10993,1900/01/01,4,0
10994,1900/01/01,1,0
10994,1900/01/01,2,0
10994,1900/01/01,3,0
10994,1900/01/01,4,0
10995,1900/01/01,1,0
10995,1900/01/01,2,0
10995,1900/01/01,3,0
10995,1900/01/01,4,0
10996,1900/01/01,1,0
10996,1900/01/01,2,0
10996,1900/01/01,3,0
10996,1900/01/01,4,0
10997,1900/01/01,1,0
10997,1900/01/01,2,0
10997,1900/01/01,3,0
10997,1900/01/01,4,0
10998,1900/01/01,1,0
10998,1900/01/01,2,0
10998,1900/01/01,3,0
10998,1900/01/01,4,0
10999,1900/01/01,1,0
10999,1900/01/01,2,0
10999,1900/01/01,3,0
10999,1900/01/01,4,0
11000,1900/01/01,1,0
11000,1900/01/01,2,0
11000,1900/01/01,3,0
11000,1900/01/01,4,0
11001,1900/01/01,1,0
11001,1900/01/01,2,0
11001,1900/01/01,3,0
11001,1900/01/01,4,0
11002,1900/01/01,1,0
11002,1900/01/01,2,0
11002,1900/01/01,3,0
11002,1900/01/01,4,0
11003,1900/01/01,1,0
11003,1900/01/01,2,0
11003,1900/01/01,3,0
11003,1900/01/01,4,0
11004,1900/01/01,1,0
11004,1900/01/01,2,0
11004,1900/01/01,3,0
11004,1900/01/01,4,0
11005,1900/01/01,1,0
11005,1900/01/01,2,0
11005,1900/01/01,3,0
11005,1900/01/01,4,0
11006,1900/01/01,1,0
11006,1900/01/01,2,0
11006,1900/01/01,3,0
11006,1900/01/01,4,0
11007,1900/01/01,1,0
11007,1900/01/01,2,0
11007,1900/01/01,3,0
11007,1900/01/01,4,0
11008,1900/01/01,1,0
11008,1900/01/01,2,0
11008,1900/01/01,3,0
11008,1900/01/01,4,0
11009,1900/01/01,1,0
11009,1900/01/01,2,0
11009,1900/01/01,3,0
11009,1900/01/01,4,0
11010,1900/01/01,1,0
11010,1900/01/01,2,0
11010,1900/01/01,3,0
11010,1900/01/01,4,0
11011,1900/01/01,1,0
11011,1900/01/01,2,0
11011,1900/01/01,3,0
11011,1900/01/01,4,0
11012,1900/01/01,1,0
11012,1900/01/01,2,0
11012,1900/01/01,3,0
11012,1900/01/01,4,0
11013,1900/01/01,1,0
11013,1900/01/01,2,0
11013,1900/01/01,3,0
11013,1900/01/01,4,0
11014,1900/01/01,1,0
11014,1900/01/01,2,0
11014,1900/01/01,3,0
11014,1900/01/01,4,0
11015,1900/01/01,1,0
11015,1900/01/01,2,0
11015,1900/01/01,3,0
11015,1900/01/01,4,0
11016,1900/01/01,1,0
11016,1900/01/01,2,0
11016,1900/01/01,3,0
11016,1900/01/01,4,0
11017,1900/01/01,1,0
11017,1900/01/01,2,0
11017,1900/01/01,3,0
11017,1900/01/01,4,0
11018,1900/01/01,1,0
11018,1900/01/01,2,0
11018,1900/01/01,3,0
11018,1900/01/01,4,0
11019,1900/01/01,1,0
11019,1900/01/01,2,0
11019,1900/01/01,3,0
11019,1900/01/01,4,0
11020,1900/01/01,1,0
11020,1900/01/01,2,0
11020,1900/01/01,3,0
11020,1900/01/01,4,0
11021,1900/01/01,1,0
11021,1900/01/01,2,0
11021,1900/01/01,3,0
11021,1900/01/01,4,0
11022,1900/01/01,1,0
11022,1900/01/01,2,0
11022,1900/01/01,3,0
11022,1900/01/01,4,0
11023,1900/01/01,1,0
11023,1900/01/01,2,0
11023,1900/01/01,3,0
11023,1900/01/01,4,0
11024,1900/01/01,1,0
11024,1900/01/01,2,0
11024,1900/01/01,3,0
11024,1900/01/01,4,0
11025,1900/01/01,1,0
11025,1900/01/01,2,0
11025,1900/01/01,3,0
11025,1900/01/01,4,0
11026,1900/01/01,1,0
11026,1900/01/01,2,0
11026,1900/01/01,3,0
11026,1900/01/01,4,0
11027,1900/01/01,1,0
11027,1900/01/01,2,0
11027,1900/01/01,3,0
11027,1900/01/01,4,0
11028,1900/01/01,1,0
11028,1900/01/01,2,0
11028,1900/01/01,3,0
11028,1900/01/01,4,0
11029,1900/01/01,1,0
11029,1900/01/01,2,0
11029,1900/01/01,3,0
11029,1900/01/01,4,0
11030,1900/01/01,1,0
11030,1900/01/01,2,0
11030,1900/01/01,3,0
11030,1900/01/01,4,0
11031,1900/01/01,1,0
11031,1900/01/01,2,0
11031,1900/01/01,3,0
11031,1900/01/01,4,0
