**** Planta:  120 JAGUARI      Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2033   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2034   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2035   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2036   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2037   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2038   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
2039   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5   464.5
**** Planta:  124 LAJES        Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2026 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2027 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2028 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2029 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2030 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2031 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2032 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2033 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2034 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2035 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2036 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2037 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2038 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
2039 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813 79.6813
