$version=1
!Day,Month,Year,Code,Name,Plant,Bus,Existing,NumberOfUnits,MinGen,MaxGen,MinReactivePower,MaxReactivePower,ReactivePowerFactor,GenDev,MaxDev,GR,GX,TR,TX,Tap
1,1,2026,132,VIANA_149_2,253,4413,0,1,0,9.37,0,0,0,0,0,0,0,0,0,0
1,1,2026,23,DO_ATLAN_T38,183,4539,0,1,0,310,0,0,0,0,0,0,0,0,0,0
1,1,2026,24,DO_ATLAN_T39,183,4540,0,1,0,128,0,0,0,0,0,0,0,0,0,0
1,1,2026,25,DO_ATLAN_T40,183,4541,0,1,0,128,0,0,0,0,0,0,0,0,0,0
1,1,2026,81,SEROPEDIC221,760,4383,0,1,0,273.6,0,0,0,0,0,0,0,0,0,0
1,1,2026,82,SEROPEDIC231,760,4383,0,1,0,91.2,0,0,0,0,0,0,0,0,0,0
1,1,2026,118,TRES_LAGO261,761,4392,0,1,0,128,0,0,0,0,0,0,0,0,0,0
1,1,2026,119,TRES_LAGO271,761,4393,0,1,0,128,0,0,0,0,0,0,0,0,0,0
1,1,2026,43,JUIZ_DE_F20_,769,4386,0,1,0,35,0,0,0,0,0,0,0,0,0,0
1,1,2026,44,JUIZ_DE_F21_,769,4387,0,1,0,35,0,0,0,0,0,0,0,0,0,0
1,1,2026,67,NORTEFLU-2,772,4049,0,1,0,100,0,0,0,0,0,0,0,0,0,0
1,1,2026,68,NORTEFLU-1,772,4051,0,1,0,400,0,0,0,0,0,0,0,0,0,0
1,1,2026,69,NORTEFLU-4,772,4049,0,1,0,126.78,0,0,0,0,0,0,0,0,0,0
1,1,2026,70,NORTEFLU-3,772,4051,0,1,0,200,0,0,0,0,0,0,0,0,0,0
1,1,2026,61,N.PIRATIN34_,774,3394,0,1,0,188,0,0,0,0,0,0,0,0,0,0
1,1,2026,62,N.PIRATIN35_,774,3395,0,1,0,188,0,0,0,0,0,0,0,0,0,0
1,2,2026,77,POVOACAO_461,251,40449,0,1,0,18.78,0,0,0,0,0,0,0,0,0,0
1,2,2026,78,POVOACAO_451,251,40450,0,1,0,56.34,0,0,0,0,0,0,0,0,0,0
1,7,2026,136,W._ARJON_A53,334,49062,0,1,0,33,0,0,0,0,0,0,0,0,0,0
1,7,2026,134,W._ARJON_A51,334,49060,0,1,0,39.16,0,0,0,0,0,0,0,0,0,0
1,7,2026,115,TERMORI_O12,47,40469,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,135,W._ARJON_A52,334,49061,0,1,0,39.16,0,0,0,0,0,0,0,0,0,0
1,7,2026,107,TERMOR_IO8,47,4388,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,137,W._ARJON_A54,334,49063,0,1,0,33.1,0,0,0,0,0,0,0,0,0,0
1,7,2026,108,TERMOR_IO9,47,4389,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,138,W._ARJON_A55,334,49064,0,1,0,32.694,0,0,0,0,0,0,0,0,0,0
1,7,2026,122,VIAN_A14,49,4405,0,1,0,43.65,0,0,0,0,0,0,0,0,0,0
1,7,2026,123,VIAN_A16,49,4409,0,1,0,43.65,0,0,0,0,0,0,0,0,0,0
1,7,2026,125,VIAN_A15,49,4420,0,1,0,43.65,0,0,0,0,0,0,0,0,0,0
1,7,2026,34,IBIRIT_E24,63,4397,0,1,0,164,0,0,0,0,0,0,0,0,0,0
1,7,2026,35,IBIRIT_E25,63,4423,0,1,0,84,0,0,0,0,0,0,0,0,0,0
1,7,2026,109,TERMOR_IO5,47,4391,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,110,TERMORI_O10,47,4399,0,1,0,184,0,0,0,0,0,0,0,0,0,0
1,7,2026,111,TERMOR_IO6,47,4400,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,112,TERMOR_IO7,47,4402,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,113,TERMORI_O13,47,40467,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,114,TERMORI_O11,47,40468,0,1,0,120,0,0,0,0,0,0,0,0,0,0
1,7,2026,124,VIAN_A17,49,4410,0,1,0,43.65,0,0,0,0,0,0,0,0,0,0
1,1,2027,88,ST.CRUZ_N291,86,3601,0,1,0,350,0,0,0,0,0,0,0,0,0,0
1,1,2027,87,ST.CRUZ_N281,86,3598,0,1,0,150,0,0,0,0,0,0,0,0,0,0
1,1,2027,85,ST.CRUZ_N28_,775,3598,0,1,0,150,0,0,0,0,0,0,0,0,0,0
1,1,2027,86,ST.CRUZ_N29_,775,3601,0,1,0,350,0,0,0,0,0,0,0,0,0,0
1,1,2027,129,VIANA_150_1,809,4414,0,1,0,9.37,0,0,0,0,0,0,0,0,0,0
1,1,2027,101,TERMOMACA30_,801,4394,0,1,0,547.2,0,0,0,0,0,0,0,0,0,0
1,1,2027,102,TERMOMACA31_,801,4396,0,1,0,364.8,0,0,0,0,0,0,0,0,0,0
1,1,2027,75,POVOACAO_46_,808,40449,0,1,0,18.78,0,0,0,0,0,0,0,0,0,0
1,1,2027,76,POVOACAO_45_,808,40450,0,1,0,56.34,0,0,0,0,0,0,0,0,0,0
1,1,2027,126,VIANA_147_1,809,4411,0,1,0,9.37,0,0,0,0,0,0,0,0,0,0
1,1,2027,127,VIANA_148_1,809,4412,0,1,0,9.37,0,0,0,0,0,0,0,0,0,0
1,1,2027,128,VIANA_149_1,809,4413,0,1,0,9.37,0,0,0,0,0,0,0,0,0,0
1,3,2032,21,CUIABA_G_3,12,4395,0,1,0,320,0,0,0,0,0,0,0,0,0,0
1,3,2032,22,CUIABA_G_4,12,40649,0,1,0,186,0,0,0,0,0,0,0,0,0,0
1,1,2034,8,BAIXADA_F2_1,211,4398,0,1,0,344,0,0,0,0,0,0,0,0,0,0
1,1,2034,7,BAIXADA_F2_4,211,4380,0,1,0,186,0,0,0,0,0,0,0,0,0,0
1,1,2034,6,BAIXADA_F1_1,776,4398,0,1,0,344,0,0,0,0,0,0,0,0,0,0
1,1,2034,5,BAIXADA_F1_4,776,4380,0,1,0,186,0,0,0,0,0,0,0,0,0,0
