NUM:   4
                 94
  1  948 R   
  2 1317 R   
  3 1228 R   
  4 1229 R   
  5 1230 R   
  6 1231 R   
  7 1232 R   
  8 1233 R   
  9 1234 R   
 10 1235 R   
 11 1236 R   
 12 1237 R   
 13 1238 R   
 14 1239 R   
 15 1240 R   
 16 1241 R   
 17 1242 R   
 18 1243 R   
 19 1244 R   
 20 1245 R   
 21 1246 R   
 22 1247 R   
 23 1248 R   
 24 1249 R   
 25 1250 R   
 26 1251 R   
 27 1252 R   
 28 1253 R   
 29 1254 R   
 30 1255 R   
 31 1256 R   
 32 1257 R   
 33 1258 R   
 34 1259 R   
 35 1260 R   
 36 1261 R   
 37 1262 R   
 38 1263 R   
 39 1264 R   
 40 1265 R   
 41 1266 R   
 42 1267 R   
 43 1268 R   
 44 1269 R   
 45 1270 R   
 46 1271 R   
 47 1272 R   
 48 1273 R   
 49 1274 R   
 50 1275 R   
 51 1276 R   
 52 1277 R   
 53 1278 R   
 54 1279 R   
 55 1280 R   
 56 1281 R   
 57 1282 R   
 58 1283 R   
 59 1284 R   
 60 1285 R   
 61 1286 R   
 62 1287 R   
 63 1288 R   
 64 1289 R   
 65 1290 R   
 66 1291 R   
 67 1292 R   
 68 1293 R   
 69 1294 R   
 70 1295 R   
 71 1296 R   
 72 1297 R   
 73 1298 R   
 74 1299 R   
 75 1300 R   
 76 1301 R   
 77 1302 R   
 78 1303 R   
 79 2812 R   
 80 2813 R   
 81 2814 R   
 82 1304 R   
 83 1305 R   
 84 1306 R   
 85 1307 R   
 86 1308 R   
 87 1309 R   
 88 1310 R   
 89 1311 R   
 90 1312 R   
 91 1313 R   
 92 1314 R   
 93 1315 R   
 94 1316 R   
