Num Graph...........................|...Unid Type  Y/N
132 Fator de producao 65% V.U.       MW/m3/s    0    0
133 Producao maxima de gas           MUV/d      0    0
134 Producao minima de gas           MUV/d      0    0
135 Producao de gas                  MUV/d      2    0
136 Custo de producao de gas         $/UV       0    0
137 Demanda de gas nao-eletrica      MUV/d      0    0
138 Capacidade gasoduto -->          MUV/d      0    0
139 Capacidade gasoduto <--          MUV/d      0    0
140 Fluxo em gasoduto                MUV/d      2    0
141 Potencia nominal de CSP          MW         0    0
142 Consumo de gas por termica       MUV/d      2    0
143 Deficit demanda de gas nao-el    MUV/d      7    0
144 Custo marginal de restr.de gas   $/UV       3    0
145 Energia armazenada por reserv.   GWh        2    0
146 Consumo de Comb. por termica     k.unid     2    0
147 Margem de capacidade termica     MW         2    0
148 Margem de capacidade hidro       MW         2    0
149 Reserva individual termica       MW         2    0
150 Reserva conjunta termica         MW         2    0
151 Reserva individual hidro         MW         2    0
152 Reserva conjunta hidro           MW         2    0
153 Fator de producao - PCV          MW/m3/s    2    0
154 Energia armazenada - PCV         GWh        2    0
155 Custo marginal turb. minimo      k$/m3/s    3    0
156 Potencia Hidro (sem falhas)      MW         2    0
157 Infiltracao                      m3/s       2    0
158 Fator de despacho hidro          %          2    0
159 Fator de despacho termico        %          2    0
160 Evaporacao                       m3/s       2    0
161 Commitment de central hidro      pu         2    0
162 Custo violacao de irrigacao      k$         8    1
163 Custo viol. reserva conjunta     k$         8    0
164 Custo viol. restricao geracao    k$         8    1
165 CMg reserva individual hidro     k$/MW      3    0
166 CMg reserva primaria termica     k$/MW      3    0
167 CMg Elo CC                       k$/MW      3    1
168 Perdas Elo CC                    MW         2    0
169 Custo emissao CO2 por termica    k$         1    0
170 Custo termico (oper + emissoes)  k$         1    0
171 Emissao CO2 por termica          tonCO2     2    0
173 Geracao renovavel                GWh        2    0
174 Geracao renovavel x CMg barra    k$         9    0
175 Custo marginal de renovavel      k$/MW      3    0
176 Vazao turbinavel disponivel      m3/s       2    0
177 CMg restricao geracao            k$/MW      3    0
178 Carregamento dos circuitos CA    %          2    1
179 Custo de transmissao nas linhas Ck$         1    0
180 Custo de transmissao nos transfork$         1    0
183 Custo unit. emissao CO2 - seg1   $/MWh      0    0
185 Viol. de rest. de energia de seg.GWh        7    0
186 Viol. de rest. de energia de alerGWh        7    0
187 Viol. de rest. de energia de espeGWh        7    0
189 Geracao de CGG                   GWh        2    0
190 Receita de CGG                   k$         9    0
191 Limite Curva Aversao a Risco     GWh        0    0
192 CMg Curva Aversao a Risco        k$/MWh     3    0
193 Custo viol. Curva Aversao a Riscok$         8    0
198 Arm. final de energia em bateria %          2    0
199 Violacao min. retirada diaria conUC         7    0
200 Custo viol. min. retirada diaria k$         8    0
203 Sobrecarga em circuito           MW         7    0
204 Penalidade de sobrecarga em circuk$         8    0
216 Custo unit. emissao CO2 - seg2   $/MWh      0    0
217 Custo unit. emissao CO2 - seg3   $/MWh      0    0
220 Volume inicial                   hm3        2    1
221 Custo marginal producao gas      k$/MUVd    3    0
224 Violacao Curva Aversao a Risco   GWh        7    0
228 Fluxo total por barra CA         MW         2    0
229 Demanda por sistema - atendida   GWh        2    0
230 Demanda por barra - atendida     GWh        2    0
231 Demanda por sistema - maxima     GWh        0    0
232 Demanda por classe - atendida    GWh        2    0
234 Energia armazenavel max. 65% V.U.GWh        0    1
235 Indice da ilha na rede CA        Ilha       0    0
236 Energia armazenada por conj.resv.GWh        2    1
237 Potencia nominal renovavel       MW         0    1
238 Energia vertida por usina        GWh        2    1
239 Valor contratado por contrato    kUC        0    0
240 Maxima retirada por contrato     UC/h       0    0
241 Valor restante por contrato      kUC        2    0
242 Valor nao consumido por contrato kUC        2    0
243 Valor consumido por contrato     kUC        2    0
244 CMg valor adicional por contrato $/UC       3    0
245 Volume maximo reserv. combustivelkUC        0    0
246 Injecao maxima reserv. comb.     UC/h       0    0
247 Retirada maximo reserv. comb.    UC/h       0    0
248 Volume final no reserv. comb.    kUC        2    0
249 Injecao reserv. combustivel      kUC        2    0
250 Retirada reserv. combustivel     kUC        2    0
251 Consumo da termica via contratos kUC        2    0
252 Consumo da termica via res. comb.kUC        2    0
253 Valor contratato ToP por contratokUC        0    0
254 Valor restante ToP por contrato  kUC        2    0
255 Valor ToP nao cons. por contrato kUC        2    0
256 CMg valor ToP por contrato       $/UC       3    0
257 Valor ToP consumido por contrato kUC        2    0
258 Demanda por classe - inelastica  GWh        0    0
259 Demanda por classe - maxima      GWh        0    0
260 Demanda por barra - maxima       GWh        0    0
261 Demanda por classe - beneficio   k$         1    0
262 Custo ToP por contrato           k$         0    0
263 Custo adicional por contrato     k$         1    0
264 Valor contratato Adc por contratokUC        0    0
265 Valor restante Adic. por contratokUC        2    0
266 Valor Adic consumido por contratokUC        2    0
267 Valor Adic nao cons. por contratokUC        2    0
268 Custo por contrato               k$         1    0
269 Volume final (%VUTIL)            %          2    1
270 Ger.termica x CMg demanda        k$         9    0
271 Ger.hidro x CMg demanda          k$         9    0
272 Ger.renovavel x CMg demanda      k$         9    0
273 Deficit (% da demanda)           %          7    1
274 Deficit por barra (% da demanda) %          7    0
276 Angulo defasador                 Graus      2    0
278 Mapeamento hora-bloco            Bloq.      0    0
279 Contrato de combustivel: consumo kUC        2    0
280 Reat�ncia do controlador de fluxo%          2    0
282 Viol. ger. termica minima tecnicaMW         7    1
283 Custo viol ger. termica min tecnik$         8    0
286 Volume final (dia t�pico)        hm3        2    0
287 Volume final semana t�pica (dia thm3        2    0
290 Demanda x CMg barra              k$         9    0
