**** Planta:    1 CAMARGOS     Penal:    3102.9723
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2033     274     240     202     227     222     207     221     213     229     459     409     273
2034     274     240     202     227     222     207     221     213     229     459     409     273
2035     274     240     202     227     222     207     221     213     229     459     409     273
2036     274     240     202     227     222     207     221     213     229     459     409     273
2037     274     240     202     227     222     207     221     213     229     459     409     273
2038     274     240     202     227     222     207     221     213     229     459     409     273
2039     274     240     202     227     222     207     221     213     229     459     409     273
**** Planta:   10 IGARAPAVA    Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     338     325     246     271     262     220     254     288     272     389     484     405
2026     338     325     246     271     262     220     254     288     272     389     484     405
2027     338     325     246     271     262     220     254     288     272     389     484     405
2028     338     325     246     271     262     220     254     288     272     389     484     405
2029     338     325     246     271     262     220     254     288     272     389     484     405
2030     338     325     246     271     262     220     254     288     272     389     484     405
2031     338     325     246     271     262     220     254     288     272     389     484     405
2032     338     325     246     271     262     220     254     288     272     389     484     405
2033     338     325     246     271     262     220     254     288     272     389     484     405
2034     338     325     246     271     262     220     254     288     272     389     484     405
2035     338     325     246     271     262     220     254     288     272     389     484     405
2036     338     325     246     271     262     220     254     288     272     389     484     405
2037     338     325     246     271     262     220     254     288     272     389     484     405
2038     338     325     246     271     262     220     254     288     272     389     484     405
2039     338     325     246     271     262     220     254     288     272     389     484     405
**** Planta:   11 VOLTA GRANDE Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     281     292     236     206     244     230     232     243     216     236     246     372
2026     281     292     236     206     244     230     232     243     216     236     246     372
2027     281     292     236     206     244     230     232     243     216     236     246     372
2028     281     292     236     206     244     230     232     243     216     236     246     372
2029     281     292     236     206     244     230     232     243     216     236     246     372
2030     281     292     236     206     244     230     232     243     216     236     246     372
2031     281     292     236     206     244     230     232     243     216     236     246     372
2032     281     292     236     206     244     230     232     243     216     236     246     372
2033     281     292     236     206     244     230     232     243     216     236     246     372
2034     281     292     236     206     244     230     232     243     216     236     246     372
2035     281     292     236     206     244     230     232     243     216     236     246     372
2036     281     292     236     206     244     230     232     243     216     236     246     372
2037     281     292     236     206     244     230     232     243     216     236     246     372
2038     281     292     236     206     244     230     232     243     216     236     246     372
2039     281     292     236     206     244     230     232     243     216     236     246     372
**** Planta:   12 P. COLOMBIA  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     361     300     196     198     190     224     241     264     195     199     243     302
2026     361     300     196     198     190     224     241     264     195     199     243     302
2027     361     300     196     198     190     224     241     264     195     199     243     302
2028     361     300     196     198     190     224     241     264     195     199     243     302
2029     361     300     196     198     190     224     241     264     195     199     243     302
2030     361     300     196     198     190     224     241     264     195     199     243     302
2031     361     300     196     198     190     224     241     264     195     199     243     302
2032     361     300     196     198     190     224     241     264     195     199     243     302
2033     361     300     196     198     190     224     241     264     195     199     243     302
2034     361     300     196     198     190     224     241     264     195     199     243     302
2035     361     300     196     198     190     224     241     264     195     199     243     302
2036     361     300     196     198     190     224     241     264     195     199     243     302
2037     361     300     196     198     190     224     241     264     195     199     243     302
2038     361     300     196     198     190     224     241     264     195     199     243     302
2039     361     300     196     198     190     224     241     264     195     199     243     302
**** Planta:   14 CACONDE      Penal:    1542.7467
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      33      33      32      32      32      33      32      32      32      32      32      32
2026      33      33      32      32      32      33      32      32      32      32      32      32
2027      33      33      32      32      32      33      32      32      32      32      32      32
2028      33      33      32      32      32      33      32      32      32      32      32      32
2029      33      33      32      32      32      33      32      32      32      32      32      32
2030      33      33      32      32      32      33      32      32      32      32      32      32
2031      33      33      32      32      32      33      32      32      32      32      32      32
2032      33      33      32      32      32      33      32      32      32      32      32      32
2033      33      33      32      32      32      33      32      32      32      32      32      32
2034      33      33      32      32      32      33      32      32      32      32      32      32
2035      33      33      32      32      32      33      32      32      32      32      32      32
2036      33      33      32      32      32      33      32      32      32      32      32      32
2037      33      33      32      32      32      33      32      32      32      32      32      32
2038      33      33      32      32      32      33      32      32      32      32      32      32
2039      33      33      32      32      32      33      32      32      32      32      32      32
**** Planta:   15 EUCLID CUNHA Penal:    548.10797
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      65      61      52      43      32      43      37      29      23      38      31      57
2026      65      61      52      43      32      43      37      29      23      38      31      57
2027      65      61      52      43      32      43      37      29      23      38      31      57
2028      65      61      52      43      32      43      37      29      23      38      31      57
2029      65      61      52      43      32      43      37      29      23      38      31      57
2030      65      61      52      43      32      43      37      29      23      38      31      57
2031      65      61      52      43      32      43      37      29      23      38      31      57
2032      65      61      52      43      32      43      37      29      23      38      31      57
2033      65      61      52      43      32      43      37      29      23      38      31      57
2034      65      61      52      43      32      43      37      29      23      38      31      57
2035      65      61      52      43      32      43      37      29      23      38      31      57
2036      65      61      52      43      32      43      37      29      23      38      31      57
2037      65      61      52      43      32      43      37      29      23      38      31      57
2038      65      61      52      43      32      43      37      29      23      38      31      57
2039      65      61      52      43      32      43      37      29      23      38      31      57
**** Planta:   16 A.S.OLIVEIRA Penal:     492.2148
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      57      55      49      40      22      41      32      28      21      40      28      54
2026      57      55      49      40      22      41      32      28      21      40      28      54
2027      57      55      49      40      22      41      32      28      21      40      28      54
2028      57      55      49      40      22      41      32      28      21      40      28      54
2029      57      55      49      40      22      41      32      28      21      40      28      54
