$version=3
!Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos TechTyp
 107 PCHPR000771      0    0    1    1.98        1       0    0   334       0      10       4
 108 PCHPR001452      0    0    1       1        1       0    0   335       0      10       4
 109 PCHPR001501      0    0    1     4.8        1       0    0   336       0      10       4
 110 PCHPR001549      0    0    1   1.219        1       0    0   337       0      10       4
 111 PCHPR002085      0    0    1    0.87        1       0    0   335       0      10       4
 112 PCHPR002576      0    0    1   0.828        1       0    0   337       0      10       4
 113 PCHPR002592      0    0    1     2.8        1       0    0   334       0      10       4
 114 PCHPR002642      0    0    1    0.94        1       0    0   337       0      10       4
 115 PCHPR026885      0    0    1   1.188        1       0    0   337       0      10       4
 116 PCHPR027174      0    0    1     4.6        1       0    0   338       0      10       4
 117 PCHPR028010      0    0    1    2.92        1       0    0   337       0      10       4
 118 PCHPR028783      0    0    1       4        1       0    0   427       0      10       4
 119 PCHPR028850      0    0    1     3.6        1       0    0   427       0      10       4
 120 PCHPR030069      0    0    1     0.4        1       0    0   336       0      10       4
 121 PCHPR030241      0    0    1    0.66        1       0    0   336       0      10       4
 122 PCHPR030577      0    0    1       1        1       0    0   427       0      10       4
 123 PCHPR031187      0    0    1   0.411        1       0    0   427       0      10       4
 124 PCHPR031470      0    0    1     0.3        1       0    0   338       0      10       4
 125 PCHPR033372      0    0    1       1        1       0    0   427       0      10       4
 126 PCHPR035484      0    0    1     1.6        1       0    0   427       0      10       4
 127 PCHPR035731      0    0    1       1        1       0    0   336       0      10       4
 128 PCHPR038250      0    0    1    4.74        1       0    0   427       0      10       4
 129 PCHPR040813      0    0    1    2.16        1       0    0   427       0      10       4
 130 PCHPR045487      0    0    1   1.369        1       0    0   335       0      10       4
 145 PCHRS000015      0    0    1    0.72        1       0    0   340       0      10       4
 146 PCHRS000329      0    0    1    3.24        1       0    0   427       0      10       4
 147 PCHRS000702      0    0    1   0.512        1       0    0   338       0      10       4
 148 PCHRS000706      0    0    1    0.88        1       0    0   340       0      10       4
 149 PCHRS000931      0    0    1   1.196        1       0    0   427       0      10       4
 150 PCHRS001067      0    0    1   0.667        1       0    0   335       0      10       4
 151 PCHRS001199      0    0    1    0.72        1       0    0   337       0      10       4
 152 PCHRS002054      0    0    1    1.27        1       0    0   334       0      10       4
 153 PCHRS002280      0    0    1    0.76        1       0    0   427       0      10       4
 154 PCHRS002317      0    0    1   0.975        1       0    0   340       0      10       4
 155 PCHRS002430      0    0    1    0.74        1       0    0   335       0      10       4
 156 PCHRS002572      0    0    1     0.8        1       0    0   335       0      10       4
 157 PCHRS002853      0    0    1    1.12        1       0    0   338       0      10       4
 158 PCHRS027100      0    0    1    0.88        1       0    0   338       0      10       4
 159 PCHRS028089      0    0    1   0.756        1       0    0   338       0      10       4
 160 PCHRS028204      0    0    1    0.99        1       0    0   340       0      10       4
 161 PCHRS028240      0    0    1       1        1       0    0   427       0      10       4
 162 PCHRS028510      0    0    1    0.52        1       0    0   338       0      10       4
 163 PCHRS028572      0    0    1       1        1       0    0   427       0      10       4
 164 PCHRS028688      0    0    1     0.8        1       0    0   340       0      10       4
 165 PCHRS028690      0    0    1    0.27        1       0    0   334       0      10       4
 166 PCHRS028740      0    0    1   0.953        1       0    0   340       0      10       4
 167 PCHRS028915      0    0    1    0.78        1       0    0   340       0      10       4
 168 PCHRS028941      0    0    1    0.42        1       0    0   338       0      10       4
 169 PCHRS029022      0    0    1    0.68        1       0    0   340       0      10       4
 170 PCHRS029037      0    0    1     1.2        1       0    0   340       0      10       4
 171 PCHRS029050      0    0    1     4.5        1       0    0   427       0      10       4
 172 PCHRS029212      0    0    1       1        1       0    0   427       0      10       4
 173 PCHRS029551      0    0    1    0.28        1       0    0   338       0      10       4
 174 PCHRS030204      0    0    1   0.705        1       0    0   338       0      10       4
 175 PCHRS030400      0    0    1    4.86        1       0    0   427       0      10       4
 176 PCHRS030407      0    0    1    2.25        1       0    0   427       0      10       4
 177 PCHRS030668      0    0    1   0.864        1       0    0   427       0      10       4
 178 PCHRS030879      0    0    1    2.25        1       0    0   427       0      10       4
 179 PCHRS031330      0    0    1       2        1       0    0   427       0      10       4
 180 PCHRS031695      0    0    1    1.28        1       0    0   340       0      10       4
 181 PCHRS034672      0    0    1    4.85        1       0    0   427       0      10       4
 182 PCHRS035444      0    0    1    0.75        1       0    0   340       0      10       4
 183 PCHRS037128      0    0    1       1        1       0    0   427       0      10       4
 184 PCHRS037327      0    0    1    0.28        1       0    0   427       0      10       4
 185 PCHRS038225      0    0    1    0.99        1       0    0   427       0      10       4
 186 PCHRS038245      0    0    1       1        1       0    0   427       0      10       4
 187 PCHRS045162      0    0    1   2.205        1       0    0   427       0      10       4
 188 PCHRS050288      0    0    1    1.75        1       0    0   427       0      10       4
 189 PCHSC000068      0    0    1    2.74        1       0    0   334       0      10       4
 190 PCHSC000728      0    0    1    4.29        1       0    0   338       0      10       4
 191 PCHSC001202      0    0    1     2.6        1       0    0   338       0      10       4
 192 PCHSC002076      0    0    1    0.78        1       0    0   336       0      10       4
 193 PCHSC002354      0    0    1    1.71        1       0    0   334       0      10       4
 194 PCHSC002514      0    0    1       5        1       0    0   427       0      10       4
 195 PCHSC002665      0    0    1       1        1       0    0   427       0      10       4
 196 PCHSC027186      0    0    1    0.42        1       0    0   336       0      10       4
 197 PCHSC027711      0    0    1       4        1       0    0   427       0      10       4
 198 PCHSC028082      0    0    1       1        1       0    0   336       0      10       4
 199 PCHSC028195      0    0    1     1.5        1       0    0   336       0      10       4
 200 PCHSC028618      0    0    1    2.54        1       0    0   336       0      10       4
 201 PCHSC028646      0    0    1       1        1       0    0   427       0      10       4
 202 PCHSC028681      0    0    1     0.7        1       0    0   336       0      10       4
 203 PCHSC028727      0    0    1    0.48        1       0    0   338       0      10       4
 204 PCHSC028776      0    0    1   0.155        1       0    0   338       0      10       4
 205 PCHSC028778      0    0    1    0.29        1       0    0   338       0      10       4
 206 PCHSC028830      0    0    1       4        1       0    0   427       0      10       4
 207 PCHSC029099      0    0    1       1        1       0    0   337       0      10       4
 208 PCHSC029100      0    0    1    0.16        1       0    0   335       0      10       4
 209 PCHSC029158      0    0    1       2        1       0    0   338       0      10       4
 210 PCHSC029172      0    0    1     1.8        1       0    0   427       0      10       4
 211 PCHSC029217      0    0    1     3.2        1       0    0   340       0      10       4
 212 PCHSC029229      0    0    1       2        1       0    0   427       0      10       4
 213 PCHSC029303      0    0    1    0.81        1       0    0   338       0      10       4
 214 PCHSC029356      0    0    1    0.75        1       0    0   340       0      10       4
 215 PCHSC029368      0    0    1    0.52        1       0    0   337       0      10       4
 216 PCHSC029377      0    0    1    1.25        1       0    0   336       0      10       4
 217 PCHSC029384      0    0    1     0.6        1       0    0   334       0      10       4
 218 PCHSC029425      0    0    1    0.96        1       0    0   336       0      10       4
 219 PCHSC029589      0    0    1     1.4        1       0    0   338       0      10       4
 220 PCHSC029590      0    0    1     2.9        1       0    0   340       0      10       4
 221 PCHSC029592      0    0    1   0.883        1       0    0   427       0      10       4
 222 PCHSC029605      0    0    1       1        1       0    0   340       0      10       4
 223 PCHSC029711      0    0    1   3.893        1       0    0   336       0      10       4
 224 PCHSC029729      0    0    1    2.32        1       0    0   336       0      10       4
 225 PCHSC029756      0    0    1     0.9        1       0    0   336       0      10       4
 226 PCHSC029764      0    0    1    1.54        1       0    0   336       0      10       4
 227 PCHSC029769      0    0    1   3.188        1       0    0   336       0      10       4
 228 PCHSC029771      0    0    1    2.38        1       0    0   427       0      10       4
 229 PCHSC029781      0    0    1   2.283        1       0    0   336       0      10       4
 230 PCHSC029800      0    0    1       1        1       0    0   340       0      10       4
 231 PCHSC029876      0    0    1   0.828        1       0    0   338       0      10       4
 232 PCHSC029945      0    0    1       1        1       0    0   427       0      10       4
 233 PCHSC029988      0    0    1    0.55        1       0    0   338       0      10       4
 234 PCHSC030092      0    0    1       3        1       0    0   338       0      10       4
 235 PCHSC030132      0    0    1    1.53        1       0    0   338       0      10       4
 236 PCHSC030151      0    0    1       1        1       0    0   340       0      10       4
 237 PCHSC030153      0    0    1     2.7        1       0    0   338       0      10       4
 238 PCHSC030172      0    0    1       2        1       0    0   334       0      10       4
 239 PCHSC030261      0    0    1    2.25        1       0    0   338       0      10       4
 240 PCHSC030368      0    0    1       1        1       0    0   334       0      10       4
 241 PCHSC030387      0    0    1    2.05        1       0    0   427       0      10       4
 242 PCHSC030394      0    0    1   2.016        1       0    0   427       0      10       4
 243 PCHSC030494      0    0    1    3.13        1       0    0   336       0      10       4
 244 PCHSC030591      0    0    1   0.866        1       0    0   338       0      10       4
 245 PCHSC030598      0    0    1    0.72        1       0    0   340       0      10       4
 246 PCHSC030643      0    0    1   2.836        1       0    0   427       0      10       4
 247 PCHSC030794      0    0    1     4.4        1       0    0   427       0      10       4
 248 PCHSC030845      0    0    1       1        1       0    0   427       0      10       4
 249 PCHSC030880      0    0    1       1        1       0    0   427       0      10       4
 250 PCHSC030998      0    0    1    0.72        1       0    0   427       0      10       4
 251 PCHSC031005      0    0    1       2        1       0    0   338       0      10       4
 252 PCHSC031041      0    0    1     2.2        1       0    0   427       0      10       4
 253 PCHSC031118      0    0    1    0.85        1       0    0   427       0      10       4
 254 PCHSC031216      0    0    1       1        1       0    0   334       0      10       4
 255 PCHSC031376      0    0    1   0.396        1       0    0   338       0      10       4
 256 PCHSC031429      0    0    1       1        1       0    0   340       0      10       4
 257 PCHSC031513      0    0    1     0.7        1       0    0   427       0      10       4
 258 PCHSC031623      0    0    1       1        1       0    0   427       0      10       4
 259 PCHSC031735      0    0    1   0.136        1       0    0   336       0      10       4
 260 PCHSC032070      0    0    1   0.835        1       0    0   427       0      10       4
 261 PCHSC032084      0    0    1       1        1       0    0   427       0      10       4
 262 PCHSC032085      0    0    1       1        1       0    0   338       0      10       4
 263 PCHSC033711      0    0    1    4.95        1       0    0   427       0      10       4
 264 PCHSC033998      0    0    1   0.999        1       0    0   427       0      10       4
