$version=3
!d/mm/yyyy .Num Name........ .Bus. Tipo #Uni .PotIns ..FatOpe ProbFal SFal Stat. ....O&M CurtCos
01/04/2024  144 PCHRO032220           0    1     5.5        1       0    0             0       0
01/05/2024 2072 UFVRO072139           0    1       2        1       0    0             0       0
01/01/2025 4850 MMGDAC42151           0    1 13.9956        1       0    0             0      10
01/01/2025 4851 MMGDAC42154           0    1 4.96347        1       0    0             0      10
01/01/2025 4852 MMGDAC42156           0    1 .295445        1       0    0             0      10
01/01/2025 4853 MMGDAC42157           0    1 .042206        1       0    0             0      10
01/01/2025 4854 MMGDAC42158           0    1 2.06811        1       0    0             0      10
01/01/2025 4855 MMGDAC42159           0    1 2.32979        1       0    0             0      10
01/01/2025 4856 MMGDAC42160           0    1 13.3963        1       0    0             0      10
01/01/2025 4857 MMGDAC42163           0    1 4.66802        1       0    0             0      10
01/01/2025 4858 MMGDAC42164           0    1 10.5094        1       0    0             0      10
01/01/2025 4859 MMGDAC9551            0    1  2.5155        1       0    0             0      10
01/01/2025 4860 MMGDAC9559            0    1 37.7494        1       0    0             0      10
01/01/2025 4861 MMGDAC9659            0    1 9.73279        1       0    0             0      10
01/01/2025 4862 MMGDAC9660            0    1 14.9917        1       0    0             0      10
01/01/2025 6161 MMGDRO9515            0    1 32.5949        1       0    0             0      10
01/01/2025 6162 MMGDRO9536            0    1 21.0278        1       0    0             0      10
01/01/2025 6163 MMGDRO9591            0    1 3.84992        1       0    0             0      10
01/01/2025 6164 MMGDRO9633            0    1 46.8637        1       0    0             0      10
01/01/2025 6165 MMGDRO9634            0    1  20.484        1       0    0             0      10
01/01/2025 6166 MMGDRO9635            0    1       0        1       0    0             0      10
01/01/2025 6167 MMGDRO9636            0    1 2.59827        1       0    0             0      10
01/01/2025 6168 MMGDRO9639            0    1 30.2728        1       0    0             0      10
01/01/2025 6169 MMGDRO9640            0    1 9.77155        1       0    0             0      10
01/01/2025 6170 MMGDRO9641            0    1 30.2728        1       0    0             0      10
01/01/2025 6171 MMGDRO9642            0    1 67.2183        1       0    0             0      10
01/01/2025 6172 MMGDRO9645            0    1 20.9156        1       0    0             0      10
01/01/2025 6173 MMGDRO9646            0    1 71.9832        1       0    0             0      10
01/01/2025 6174 MMGDRO9649            0    1 16.9362        1       0    0             0      10
01/01/2025 6175 MMGDRO9652            0    1 50.8345        1       0    0             0      10
01/01/2025 6176 MMGDRO9653            0    1 0.16401        1       0    0             0      10
01/01/2025 6177 MMGDRO9655            0    1 2.81407        1       0    0             0      10
01/01/2025 6178 MMGDRO9656            0    1 6.54314        1       0    0             0      10
01/01/2025 6179 MMGDRO9657            0    1 20.1819        1       0    0             0      10
01/01/2025 6180 MMGDRO9662            0    1 1.51062        1       0    0             0      10
01/01/2025 6181 MMGDRO9663            0    1 1.40703        1       0    0             0      10
01/01/2025 8394 OMGDRO9515            0    1 .408285        1       0    0             0      10
01/01/2025 8395 OMGDRO9536            0    1 .263396        1       0    0             0      10
