**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2033      80      80      80      80      80      80      80      80      80      80      80      80
2034      80      80      80      80      80      80      80      80      80      80      80      80
2035      80      80      80      80      80      80      80      80      80      80      80      80
2036      80      80      80      80      80      80      80      80      80      80      80      80
2037      80      80      80      80      80      80      80      80      80      80      80      80
2038      80      80      80      80      80      80      80      80      80      80      80      80
2039      80      80      80      80      80      80      80      80      80      80      80      80
**** Planta:  124 LAJES        Penal:    3245.4678
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025       6       6       6       6       6       6       6       6       6       6       6       6
2026       6       6       6       6       6       6       6       6       6       6       6       6
2027       6       6       6       6       6       6       6       6       6       6       6       6
2028       6       6       6       6       6       6       6       6       6       6       6       6
2029       6       6       6       6       6       6       6       6       6       6       6       6
2030       6       6       6       6       6       6       6       6       6       6       6       6
2031       6       6       6       6       6       6       6       6       6       6       6       6
2032       6       6       6       6       6       6       6       6       6       6       6       6
2033       6       6       6       6       6       6       6       6       6       6       6       6
2034       6       6       6       6       6       6       6       6       6       6       6       6
2035       6       6       6       6       6       6       6       6       6       6       6       6
2036       6       6       6       6       6       6       6       6       6       6       6       6
2037       6       6       6       6       6       6       6       6       6       6       6       6
2038       6       6       6       6       6       6       6       6       6       6       6       6
2039       6       6       6       6       6       6       6       6       6       6       6       6
**** Planta:  126 PICADA       Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      22      15      23      18      15      14       9       9       8       9      17      28
2026      22      15      23      18      15      14       9       9       8       9      17      28
2027      22      15      23      18      15      14       9       9       8       9      17      28
2028      22      15      23      18      15      14       9       9       8       9      17      28
2029      22      15      23      18      15      14       9       9       8       9      17      28
2030      22      15      23      18      15      14       9       9       8       9      17      28
2031      22      15      23      18      15      14       9       9       8       9      17      28
2032      22      15      23      18      15      14       9       9       8       9      17      28
2033      22      15      23      18      15      14       9       9       8       9      17      28
2034      22      15      23      18      15      14       9       9       8       9      17      28
2035      22      15      23      18      15      14       9       9       8       9      17      28
2036      22      15      23      18      15      14       9       9       8       9      17      28
2037      22      15      23      18      15      14       9       9       8       9      17      28
2038      22      15      23      18      15      14       9       9       8       9      17      28
2039      22      15      23      18      15      14       9       9       8       9      17      28
**** Planta:  127 SOBRAGI      Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      42      27      42      48      38      31      19      19      13      18      26      43
2026      42      27      42      48      38      31      19      19      13      18      26      43
2027      42      27      42      48      38      31      19      19      13      18      26      43
2028      42      27      42      48      38      31      19      19      13      18      26      43
2029      42      27      42      48      38      31      19      19      13      18      26      43
2030      42      27      42      48      38      31      19      19      13      18      26      43
2031      42      27      42      48      38      31      19      19      13      18      26      43
2032      42      27      42      48      38      31      19      19      13      18      26      43
2033      42      27      42      48      38      31      19      19      13      18      26      43
2034      42      27      42      48      38      31      19      19      13      18      26      43
2035      42      27      42      48      38      31      19      19      13      18      26      43
2036      42      27      42      48      38      31      19      19      13      18      26      43
2037      42      27      42      48      38      31      19      19      13      18      26      43
2038      42      27      42      48      38      31      19      19      13      18      26      43
2039      42      27      42      48      38      31      19      19      13      18      26      43
**** Planta:  129 SIMPLICIO    Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      20      41     122      96      67      61      25      23       9      17      66      95
2026      20      41     122      96      67      61      25      23       9      17      66      95
2027      20      41     122      96      67      61      25      23       9      17      66      95
2028      20      41     122      96      67      61      25      23       9      17      66      95
2029      20      41     122      96      67      61      25      23       9      17      66      95
2030      20      41     122      96      67      61      25      23       9      17      66      95
2031      20      41     122      96      67      61      25      23       9      17      66      95
2032      20      41     122      96      67      61      25      23       9      17      66      95
2033      20      41     122      96      67      61      25      23       9      17      66      95
2034      20      41     122      96      67      61      25      23       9      17      66      95
2035      20      41     122      96      67      61      25      23       9      17      66      95
2036      20      41     122      96      67      61      25      23       9      17      66      95
2037      20      41     122      96      67      61      25      23       9      17      66      95
2038      20      41     122      96      67      61      25      23       9      17      66      95
2039      20      41     122      96      67      61      25      23       9      17      66      95
**** Planta:  130 ILHA POMBOS  Penal:          200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     136     153     258     256     234     197     116     140      92     117     151     210
2026     136     153     258     256     234     197     116     140      92     117     151     210
2027     136     153     258     256     234     197     116     140      92     117     151     210
2028     136     153     258     256     234     197     116     140      92     117     151     210
2029     136     153     258     256     234     197     116     140      92     117     151     210
2030     136     153     258     256     234     197     116     140      92     117     151     210
2031     136     153     258     256     234     197     116     140      92     117     151     210
2032     136     153     258     256     234     197     116     140      92     117     151     210
2033     136     153     258     256     234     197     116     140      92     117     151     210
2034     136     153     258     256     234     197     116     140      92     117     151     210
2035     136     153     258     256     234     197     116     140      92     117     151     210
2036     136     153     258     256     234     197     116     140      92     117     151     210
2037     136     153     258     256     234     197     116     140      92     117     151     210
2038     136     153     258     256     234     197     116     140      92     117     151     210
2039     136     153     258     256     234     197     116     140      92     117     151     210
**** Planta:  131 NILO PECANHA Penal:    316.20699
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     102      93      75     102      93     110     100      85     104     105      99      94
2026     102      93      75     102      93     110     100      85     104     105      99      94
2027     102      93      75     102      93     110     100      85     104     105      99      94
2028     102      93      75     102      93     110     100      85     104     105      99      94
2029     102      93      75     102      93     110     100      85     104     105      99      94
2030     102      93      75     102      93     110     100      85     104     105      99      94
2031     102      93      75     102      93     110     100      85     104     105      99      94
